ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
295.67,-10.323599,12.06,1.4800000190734863,VII/155/rc3,NGC  6814
296.100415,-6.833878,13.62,1.0700000524520874,VII/155/rc3,NGC  6821
298.900414,2.166674,14.3,1.0399999618530273,VII/155/rc3,
300.617496,1.647508,14.7,1.2000000476837158,VII/155/rc3,
302.700412,2.116674,14.6,1.0,VII/155/rc3,
303.079578,1.959452,15.11,1.1799999475479126,VII/155/rc3,
303.477494,-1.158046,14.29,1.2200000286102295,VII/155/rc3,
304.65791,-0.149991,14.34,1.3799999952316284,VII/155/rc3,
305.814576,0.663342,14.6,0.8500000238418579,VII/155/rc3,IC   1317
307.470825,-2.18999,14.04,1.1299999952316284,VII/155/rc3,NGC  6922
308.276241,-2.028045,13.15,1.2899999618530273,VII/155/rc3,NGC  6926
308.341241,-2.038045,14.44,0.8999999761581421,VII/155/rc3,NGC  6929
297.325415,7.150006,15.1,1.2000000476837158,VII/155/rc3,
297.875414,3.550007,14.5,1.0700000524520874,VII/155/rc3,
298.000414,4.766673,14.5,1.0700000524520874,VII/155/rc3,
298.750414,5.866673,14.0,1.2300000190734863,VII/155/rc3,
299.300414,5.883339,13.5,1.5,VII/155/rc3,A   1954+05
299.65333,2.603341,13.8,1.1399999856948853,VII/155/rc3,
303.000412,5.766672,14.12,1.059999942779541,VII/155/rc3,A   2009+05
305.892493,6.443893,13.16,1.2200000286102295,VII/155/rc3,NGC  6906
306.30041,5.263061,13.9,1.3200000524520874,VII/155/rc3,A   2022+05
309.599158,6.996948,14.79,1.190000057220459,VII/155/rc3,NGC  6944
294.775416,8.800005,15.4,1.0700000524520874,VII/155/rc3,
302.225413,7.766671,15.0,0.9599999785423279,VII/155/rc3,
308.159159,9.915835,15.5,0.949999988079071,VII/155/rc3,NGC  6927
308.207493,9.929168,13.16,1.2999999523162842,VII/155/rc3,NGC  6928
308.246243,9.875001,13.62,1.1100000143051147,VII/155/rc3,NGC  6930
301.141665,12.740002,14.38,1.0,VII/155/rc3,
301.150415,14.116668,15.1,1.0700000524520874,VII/155/rc3,
309.10041,13.416665,15.0,1.0,VII/155/rc3,
307.262497,18.375829,14.8,0.949999988079071,VII/155/rc3,
