ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
348.575381,49.797162,14.4,1.0,VII/155/rc3,
350.58121,50.15966,14.0,1.0,VII/155/rc3,
0.007852,47.274382,13.4,1.3300000429153442,VII/155/rc3,A   2357+47
350.58121,50.15966,14.0,1.0,VII/155/rc3,
355.811614,49.979381,14.1,1.1799999475479126,VII/155/rc3,
357.332026,47.918549,14.5,1.159999966621399,VII/155/rc3,
357.763691,46.723828,14.6,1.149999976158142,VII/155/rc3,
357.838275,49.07827,15.2,1.0800000429153442,VII/155/rc3,
359.031606,49.498547,14.6,1.0800000429153442,VII/155/rc3,
359.375354,47.439382,14.9,1.0399999618530273,VII/155/rc3,A   2355+47
359.816186,46.890772,13.0,1.2899999618530273,VII/155/rc3,IC   1525
359.975352,46.885494,14.6,1.149999976158142,VII/155/rc3,
8.298666,48.507713,10.47,2.119999885559082,VII/155/rc3,NGC   147
8.298666,48.507713,10.47,2.119999885559082,VII/155/rc3,NGC   147
9.741996,48.338269,10.1,2.069999933242798,VII/155/rc3,NGC   185
11.867407,50.883543,14.33,1.059999942779541,VII/155/rc3,A   0044+50
13.019487,47.549936,11.47,1.3200000524520874,VII/155/rc3,NGC   278
15.117816,47.995213,14.2,1.0199999809265137,VII/155/rc3,
15.232815,47.680769,13.6,1.590000033378601,VII/155/rc3,IC     65
13.019487,47.549936,11.47,1.3200000524520874,VII/155/rc3,NGC   278
15.117816,47.995213,14.2,1.0199999809265137,VII/155/rc3,
15.232815,47.680769,13.6,1.590000033378601,VII/155/rc3,IC     65
20.483218,50.047156,14.4,1.149999976158142,VII/155/rc3,
21.657383,48.393269,15.0,0.7400000095367432,VII/155/rc3,
21.953632,48.81938,14.8,1.1200000047683716,VII/155/rc3,
22.025715,49.241324,14.3,1.1799999475479126,VII/155/rc3,
22.123632,48.386881,14.0,1.100000023841858,VII/155/rc3,NGC   562
23.881544,47.549382,14.7,1.2200000286102295,VII/155/rc3,
24.825291,48.764103,14.9,1.1200000047683716,VII/155/rc3,
25.231957,49.234103,14.8,1.0,VII/155/rc3,
27.719451,48.351882,14.8,1.0700000524520874,VII/155/rc3,
28.075284,48.087438,14.6,1.2599999904632568,VII/155/rc3,
28.878199,47.954661,14.5,1.2599999904632568,VII/155/rc3,
28.925283,46.801884,14.3,1.3700000047683716,VII/155/rc3,
31.044444,47.975773,14.1,1.090000033378601,VII/155/rc3,
31.15236,47.938273,14.5,1.1100000143051147,VII/155/rc3,
31.533608,49.908826,14.6,1.0399999618530273,VII/155/rc3,
28.075284,48.087438,14.6,1.2599999904632568,VII/155/rc3,
28.878199,47.954661,14.5,1.2599999904632568,VII/155/rc3,
28.925283,46.801884,14.3,1.3700000047683716,VII/155/rc3,
31.044444,47.975773,14.1,1.090000033378601,VII/155/rc3,
31.15236,47.938273,14.5,1.1100000143051147,VII/155/rc3,
31.533608,49.908826,14.6,1.0399999618530273,VII/155/rc3,
32.239025,47.219663,14.0,1.3799999952316284,VII/155/rc3,
35.277766,48.960496,14.3,1.2000000476837158,VII/155/rc3,
35.631517,47.849942,13.7,1.3899999856948853,VII/155/rc3,
36.033182,47.969386,14.8,1.0800000429153442,VII/155/rc3,
36.661512,50.04494,15.14,1.0,VII/155/rc3,
37.124842,51.445494,14.5,1.2699999809265137,VII/155/rc3,
37.345263,47.490776,15.1,1.190000057220459,VII/155/rc3,
42.441503,46.976891,13.8,1.340000033378601,VII/155/rc3,IC    257
44.14483,48.690223,15.07,1.0800000429153442,VII/155/rc3,
44.846081,47.078003,14.1,1.2200000286102295,VII/155/rc3,
46.771078,46.620783,13.9,1.0800000429153442,VII/155/rc3,
51.772318,46.966619,15.58,1.0,VII/155/rc3,
56.432727,46.67329,14.97,1.2599999904632568,VII/155/rc3,
1.550353,54.533263,15.38,0.9599999785423279,VII/155/rc3,
1.550353,54.533263,15.38,0.9599999785423279,VII/155/rc3,
12.900321,52.099931,14.8,1.0399999618530273,VII/155/rc3,
13.725319,52.49993,14.6,1.1399999856948853,VII/155/rc3,
33.300266,53.399934,14.83,1.190000057220459,VII/155/rc3,
37.124842,51.445494,14.5,1.2699999809265137,VII/155/rc3,
33.300266,53.399934,14.83,1.190000057220459,VII/155/rc3,
5.102846,59.29159,11.81,1.7999999523162842,VII/155/rc3,IC     10
5.102846,59.29159,11.81,1.7999999523162842,VII/155/rc3,IC     10
39.151488,59.655765,11.4,0.7799999713897705,VII/155/rc3,Maffei I
39.151488,59.655765,11.4,0.7799999713897705,VII/155/rc3,Maffei I
56.707228,68.095774,9.1,2.3299999237060547,VII/155/rc3,IC    342
61.946364,69.813001,11.39,1.7200000286102295,VII/155/rc3,IC    356
67.175093,70.333285,14.0,1.3300000429153442,VII/155/rc3,A   0423+70
56.707228,68.095774,9.1,2.3299999237060547,VII/155/rc3,IC    342
326.800546,72.466606,15.0,1.1399999856948853,VII/155/rc3,
329.075547,73.249936,14.2,1.5399999618530273,VII/155/rc3,
354.050441,75.649915,14.5,1.0399999618530273,VII/155/rc3,IC   1502
16.700293,75.599911,14.4,1.159999966621399,VII/155/rc3,
29.050227,73.266583,13.5,1.5299999713897705,VII/155/rc3,
354.050441,75.649915,14.5,1.0399999618530273,VII/155/rc3,IC   1502
16.700293,75.599911,14.4,1.159999966621399,VII/155/rc3,
29.050227,73.266583,13.5,1.5299999713897705,VII/155/rc3,
43.925129,75.149925,15.0,1.2400000095367432,VII/155/rc3,
44.075129,75.083258,15.2,0.8500000238418579,VII/155/rc3,
45.850125,74.649926,15.1,1.1100000143051147,VII/155/rc3,
54.45761,72.572158,13.5,1.409999966621399,VII/155/rc3,NGC  1343
57.625092,73.016606,14.8,1.1100000143051147,VII/155/rc3,
57.700076,74.116605,15.1,0.9599999785423279,VII/155/rc3,
58.975088,72.899941,14.3,1.4500000476837158,VII/155/rc3,A   0350+72
60.256733,74.082719,13.8,1.440000057220459,VII/155/rc3,
65.868773,75.29717,12.25,1.659999966621399,VII/155/rc3,NGC  1530
68.208404,71.881064,12.16,1.9900000095367432,VII/155/rc3,NGC  1560
68.759632,73.263286,12.81,1.2799999713897705,VII/155/rc3,NGC  1573
71.975009,74.916623,15.0,1.2899999618530273,VII/155/rc3,A   0441+74
16.700293,75.599911,14.4,1.159999966621399,VII/155/rc3,
337.700552,76.499926,15.1,1.190000057220459,VII/155/rc3,
347.975503,77.583251,15.2,1.1299999952316284,VII/155/rc3,
349.600488,77.316583,15.3,1.2200000286102295,VII/155/rc3,
43.925129,75.149925,15.0,1.2400000095367432,VII/155/rc3,
57.625092,73.016606,14.8,1.1100000143051147,VII/155/rc3,
57.700076,74.116605,15.1,0.9599999785423279,VII/155/rc3,
58.975088,72.899941,14.3,1.4500000476837158,VII/155/rc3,A   0350+72
60.256733,74.082719,13.8,1.440000057220459,VII/155/rc3,
354.050441,75.649915,14.5,1.0399999618530273,VII/155/rc3,IC   1502
56.321288,76.63688,12.45,1.399999976158142,VII/155/rc3,IC    334
65.868773,75.29717,12.25,1.659999966621399,VII/155/rc3,NGC  1530
71.12083,75.640511,13.08,1.3799999952316284,VII/155/rc3,IC    381
71.975009,74.916623,15.0,1.2899999618530273,VII/155/rc3,A   0441+74
83.400004,73.71664,15.2,1.1699999570846558,VII/155/rc3,A   0527+73
56.321288,76.63688,12.45,1.399999976158142,VII/155/rc3,IC    334
