ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
315.888747,29.89637,12.4,1.600000023841858,VII/155/rc3,NGC  7013
321.527074,30.492755,14.9,1.0399999618530273,VII/155/rc3,
322.213741,31.835809,14.9,1.0399999618530273,VII/155/rc3,
325.670401,28.947198,14.31,1.0399999618530273,VII/155/rc3,NGC  7116
327.473734,31.611639,15.7,0.949999988079071,VII/155/rc3,
328.147481,28.306086,15.27,1.309999942779541,VII/155/rc3,
328.998313,27.899975,14.72,1.159999966621399,VII/155/rc3,
329.109148,30.788028,15.49,1.100000023841858,VII/155/rc3,
330.68373,31.695526,15.65,0.8999999761581421,VII/155/rc3,
292.720854,35.788608,14.1,0.9399999976158142,VII/155/rc3,IC   1302
292.720854,35.788608,14.1,0.9399999976158142,VII/155/rc3,IC   1302
323.884576,35.398026,12.5,1.2000000476837158,VII/155/rc3,IC   1392
323.949159,35.351359,14.1,1.0,VII/155/rc3,
324.163326,35.693859,13.1,1.149999976158142,VII/155/rc3,
328.169571,36.4608,15.5,0.9599999785423279,VII/155/rc3,
330.968317,35.990799,14.7,0.9599999785423279,VII/155/rc3,
287.453782,41.57639,14.6,1.1299999952316284,VII/155/rc3,
288.533779,40.153611,15.0,0.9700000286102295,VII/155/rc3,
299.050442,40.433322,14.7,0.6000000238418579,VII/155/rc3,A   1954+40
299.200442,40.399989,16.1,0.5199999809265137,VII/155/rc3,A   1955+40
299.050442,40.433322,14.7,0.6000000238418579,VII/155/rc3,A   1954+40
299.200442,40.399989,16.1,0.5199999809265137,VII/155/rc3,A   1955+40
320.125834,37.584416,15.15,1.100000023841858,VII/155/rc3,
322.605003,41.843577,15.1,1.159999966621399,VII/155/rc3,
329.372075,41.249405,14.2,1.149999976158142,VII/155/rc3,
329.478326,42.306071,14.9,1.340000033378601,VII/155/rc3,
330.743739,41.060238,13.7,1.2100000381469727,VII/155/rc3,NGC  7197
330.888736,38.556629,14.5,1.0199999809265137,VII/155/rc3,
331.02874,41.819681,14.8,1.100000023841858,VII/155/rc3,
331.093737,39.74385,14.2,1.100000023841858,VII/155/rc3,
331.127072,41.41107,13.5,1.1399999856948853,VII/155/rc3,
331.15124,42.327181,14.8,0.9100000262260437,VII/155/rc3,
287.080452,43.06889,13.8,1.309999942779541,VII/155/rc3,A   1906+42
292.742542,46.712493,14.7,1.0,VII/155/rc3,
295.745454,45.299157,12.7,1.2999999523162842,VII/155/rc3,
296.383782,43.13999,14.2,1.2599999904632568,VII/155/rc3,
297.074622,46.427766,14.4,1.0399999618530273,VII/155/rc3,
330.880826,43.740513,14.4,1.6200000047683716,VII/155/rc3,
331.56958,47.250509,13.25,1.4700000286102295,VII/155/rc3,A   2204+47
287.070056,50.931666,12.56,1.3600000143051147,VII/155/rc3,NGC  6764
295.422135,50.631933,13.84,1.0800000429153442,VII/155/rc3,A   1940+50
295.442968,50.595822,14.99,0.8899999856948853,VII/155/rc3,
295.422135,50.631933,13.84,1.0800000429153442,VII/155/rc3,A   1940+50
295.442968,50.595822,14.99,0.8899999856948853,VII/155/rc3,
299.675047,50.036928,13.8,0.9300000071525574,VII/155/rc3,
300.48046,49.150261,15.3,0.9700000286102295,VII/155/rc3,
332.114998,48.44134,12.86,1.3799999952316284,VII/155/rc3,A   2206+48
292.785065,54.103046,12.9,1.2699999809265137,VII/155/rc3,A   1930+54
295.921738,56.110819,13.0,1.2300000190734863,VII/155/rc3,NGC  6824
292.785065,54.103046,12.9,1.2699999809265137,VII/155/rc3,A   1930+54
295.921738,56.110819,13.0,1.2300000190734863,VII/155/rc3,NGC  6824
300.425488,56.99998,15.0,1.0,VII/155/rc3,
300.725475,53.883314,14.7,1.309999942779541,VII/155/rc3,
290.379267,61.145548,13.48,1.2699999809265137,VII/155/rc3,NGC  6796
308.71716,60.154134,9.61,2.059999942779541,VII/155/rc3,NGC  6946
308.71716,60.154134,9.61,2.059999942779541,VII/155/rc3,NGC  6946
