ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
139.652295,47.871993,13.87,1.5,VII/155/rc3,
140.507705,50.975329,10.09,1.909999966621399,VII/155/rc3,NGC  2841
141.158544,49.355606,12.9,1.350000023841858,VII/155/rc3,NGC  2857
162.269413,52.332848,15.0,0.9100000262260437,VII/155/rc3,A   1046+52
162.269413,52.332848,15.0,0.9100000262260437,VII/155/rc3,A   1046+52
170.825269,50.91674,14.19,1.440000057220459,VII/155/rc3,
170.825269,50.91674,14.19,1.440000057220459,VII/155/rc3,
173.369027,49.235629,14.5,1.090000033378601,VII/155/rc3,A   1130+49
174.43278,47.894517,12.55,1.4900000095367432,VII/155/rc3,NGC  3769
175.317782,47.693128,12.9,1.340000033378601,VII/155/rc3,NGC  3811
175.57528,51.600076,14.18,1.5299999713897705,VII/155/rc3,
176.484033,50.200909,13.5,1.0199999809265137,VII/155/rc3,NGC  3870
176.533619,47.49424,11.79,1.7400000095367432,VII/155/rc3,NGC  3877
177.163203,48.711185,11.16,1.649999976158142,VII/155/rc3,NGC  3893
177.417787,48.425074,13.49,1.2699999809265137,VII/155/rc3,NGC  3906
177.689452,51.825911,12.51,1.7100000381469727,VII/155/rc3,NGC  3917
177.946538,48.681463,13.22,1.1799999475479126,VII/155/rc3,NGC  3928
178.025286,52.100078,14.3,1.2699999809265137,VII/155/rc3,A   1149+52
178.423206,47.859796,11.54,1.4600000381469727,VII/155/rc3,NGC  3949
178.456537,52.327578,10.84,1.840000033378601,VII/155/rc3,NGC  3953
179.124873,50.42841,13.13,1.5499999523162842,VII/155/rc3,
179.175291,48.335074,13.12,1.1100000143051147,VII/155/rc3,NGC  3985
179.17529,50.83341,14.14,1.190000057220459,VII/155/rc3,
179.321958,49.285631,12.65,1.6399999856948853,VII/155/rc3,A   1154+49
179.600291,50.900077,14.92,1.350000023841858,VII/155/rc3,A   1155+51
179.856958,50.962022,11.67,1.7200000286102295,VII/155/rc3,NGC  4026
177.163203,48.711185,11.16,1.649999976158142,VII/155/rc3,NGC  3893
177.417787,48.425074,13.49,1.2699999809265137,VII/155/rc3,NGC  3906
177.689452,51.825911,12.51,1.7100000381469727,VII/155/rc3,NGC  3917
177.946538,48.681463,13.22,1.1799999475479126,VII/155/rc3,NGC  3928
178.025286,52.100078,14.3,1.2699999809265137,VII/155/rc3,A   1149+52
178.423206,47.859796,11.54,1.4600000381469727,VII/155/rc3,NGC  3949
178.456537,52.327578,10.84,1.840000033378601,VII/155/rc3,NGC  3953
179.124873,50.42841,13.13,1.5499999523162842,VII/155/rc3,
179.175291,48.335074,13.12,1.1100000143051147,VII/155/rc3,NGC  3985
179.17529,50.83341,14.14,1.190000057220459,VII/155/rc3,
179.321958,49.285631,12.65,1.6399999856948853,VII/155/rc3,A   1154+49
179.600291,50.900077,14.92,1.350000023841858,VII/155/rc3,A   1155+51
179.856958,50.962022,11.67,1.7200000286102295,VII/155/rc3,NGC  4026
181.345712,50.353966,12.95,1.4500000476837158,VII/155/rc3,NGC  4085
181.397795,50.542299,11.15,1.7599999904632568,VII/155/rc3,NGC  4088
181.535713,49.581743,11.89,1.7300000190734863,VII/155/rc3,NGC  4100
182.725299,50.283411,16.6,1.159999966621399,VII/155/rc3,A   1208+50
182.770716,50.486188,12.15,1.8300000429153442,VII/155/rc3,NGC  4157
183.200299,52.266746,14.75,1.1100000143051147,VII/155/rc3,
184.04947,47.884797,12.27,1.590000033378601,VII/155/rc3,NGC  4220
191.734905,51.61369,15.1,1.1100000143051147,VII/155/rc3,A   1244+51
192.100323,51.150079,13.4,1.350000023841858,VII/155/rc3,NGC  4707
192.600324,52.116746,15.12,1.3300000429153442,VII/155/rc3,A   1248+52
192.749908,47.67202,14.37,1.1299999952316284,VII/155/rc3,NGC  4741
193.025325,51.683413,14.5,0.8700000047683716,VII/155/rc3,
193.850328,52.25008,14.7,1.100000023841858,VII/155/rc3,
195.650332,50.433411,14.3,1.1799999475479126,VII/155/rc3,NGC  4932
195.700332,51.283412,15.15,0.8899999856948853,VII/155/rc3,NGC  4938
195.825333,50.616745,15.2,1.0399999618530273,VII/155/rc3,
196.850336,52.40008,15.3,1.0099999904632568,VII/155/rc3,
196.975336,51.933413,14.36,1.0800000429153442,VII/155/rc3,NGC  4987
197.697421,50.092578,15.3,1.059999942779541,VII/155/rc3,NGC  5009
198.275339,50.600078,14.5,1.4900000095367432,VII/155/rc3,
201.500348,51.316745,15.48,0.9200000166893005,VII/155/rc3,
203.334103,51.490911,14.5,0.8100000023841858,VII/155/rc3,NGC  5225
203.512851,47.91563,14.3,1.5199999809265137,VII/155/rc3,NGC  5229
203.678687,51.613967,13.9,1.2300000190734863,VII/155/rc3,NGC  5238
204.00577,49.960076,14.54,1.340000033378601,VII/155/rc3,IC    902
204.031604,51.235911,13.97,1.0,VII/155/rc3,NGC  5250
204.825356,51.050077,15.3,1.1100000143051147,VII/155/rc3,IC    907
210.710786,49.173684,11.93,1.600000023841858,VII/155/rc3,NGC  5448
210.710786,49.173684,11.93,1.600000023841858,VII/155/rc3,NGC  5448
217.454969,49.622848,12.4,1.440000057220459,VII/155/rc3,NGC  5660
217.879137,49.959793,12.9,1.3899999856948853,VII/155/rc3,NGC  5673
218.114971,49.903959,12.2,1.4500000476837158,VII/155/rc3,IC   1029
218.19622,49.45757,11.87,1.600000023841858,VII/155/rc3,NGC  5676
218.68872,48.671736,14.6,1.2200000286102295,VII/155/rc3,NGC  5682
218.71872,48.662014,15.67,1.100000023841858,VII/155/rc3,NGC  5683
