ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
333.845397,37.282462,15.2,0.8700000047683716,VII/155/rc3,NGC  7240
335.614559,36.209684,13.24,1.3799999952316284,VII/155/rc3,NGC  7265
335.614559,36.209684,13.24,1.3799999952316284,VII/155/rc3,NGC  7265
337.836225,39.358013,14.49,1.0399999618530273,VII/155/rc3,A   2229+39
339.957887,38.216068,13.5,1.2699999809265137,VII/155/rc3,A   2237+37
341.540384,38.052179,14.1,0.9800000190734863,VII/155/rc3,A   2243+37
341.540384,38.052179,14.1,0.9800000190734863,VII/155/rc3,A   2243+37
344.637043,35.80218,14.4,1.149999976158142,VII/155/rc3,NGC  7440
332.044987,41.177459,14.3,1.2100000381469727,VII/155/rc3,A   2206+40
334.219566,40.505514,13.5,1.2400000095367432,VII/155/rc3,NGC  7248
334.573732,40.562458,13.22,1.2400000095367432,VII/155/rc3,NGC  7250
335.800813,40.056902,14.1,0.9100000262260437,VII/155/rc3,
336.474562,40.314957,14.5,1.3899999856948853,VII/155/rc3,NGC  7282
337.556646,42.790231,14.5,1.059999942779541,VII/155/rc3,
338.578726,41.320788,14.5,0.9599999785423279,VII/155/rc3,
338.599562,43.808841,14.5,0.9900000095367432,VII/155/rc3,
341.889135,40.238565,14.27,1.059999942779541,VII/155/rc3,NGC  7379
342.267468,40.001621,14.27,1.1799999475479126,VII/155/rc3,
342.267468,40.001621,14.27,1.1799999475479126,VII/155/rc3,
344.732047,40.931618,14.49,1.2799999713897705,VII/155/rc3,
332.913743,46.309397,14.3,1.0399999618530273,VII/155/rc3,A   2209+46
335.093324,47.705506,14.53,1.2599999904632568,VII/155/rc3,A   2218+47
335.093324,47.705506,14.53,1.2599999904632568,VII/155/rc3,A   2218+47
338.576238,50.413278,15.46,1.0399999618530273,VII/155/rc3,
338.601655,50.443556,15.16,1.0800000429153442,VII/155/rc3,
338.576238,50.413278,15.46,1.0399999618530273,VII/155/rc3,
338.601655,50.443556,15.16,1.0800000429153442,VII/155/rc3,
