ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
144.722337,-4.859441,15.68,1.0399999618530273,VII/155/rc3,A   0936-04C
144.723587,-4.848886,13.77,1.1299999952316284,VII/155/rc3,A   0936-04A
144.729837,-4.866108,15.02,1.0399999618530273,VII/155/rc3,A   0936-04B
144.732753,-4.837219,15.06,0.9300000071525574,VII/155/rc3,A   0936-04D
145.639004,-3.699718,11.87,1.5399999618530273,VII/155/rc3,NGC  2974
150.126093,-2.97194,13.6,1.2300000190734863,VII/155/rc3,NGC  3090
152.75568,-4.713331,11.86,1.7699999809265137,VII/155/rc3,Sextans A
157.544853,-3.164163,13.75,1.309999942779541,VII/155/rc3,
158.22527,-6.483334,14.6,1.0399999618530273,VII/155/rc3,
160.954024,-2.527495,14.9,1.059999942779541,VII/155/rc3,
162.855693,-3.729164,14.43,1.100000023841858,VII/155/rc3,
170.042788,-3.057218,14.1,1.1699999570846558,VII/155/rc3,A   1117-02
174.425294,-7.26667,14.2,1.1399999856948853,VII/155/rc3,A   1135-07
175.489463,-6.155835,12.67,1.309999942779541,VII/155/rc3,NGC  3818
178.419467,-3.996109,13.51,1.2000000476837158,VII/155/rc3,NGC  3952
140.008998,1.038065,13.5,1.2799999713897705,VII/155/rc3,
145.516088,0.335564,12.3,1.4800000190734863,VII/155/rc3,NGC  2967
148.416091,1.579455,12.46,1.690000057220459,VII/155/rc3,NGC  3044
152.824013,0.443898,14.08,1.2000000476837158,VII/155/rc3,
155.601517,1.199454,14.8,0.800000011920929,VII/155/rc3,IC    605
156.398184,-2.214717,14.07,1.1799999475479126,VII/155/rc3,IC    609
157.89527,0.477509,14.2,1.0399999618530273,VII/155/rc3,
158.465271,-0.561659,14.7,1.0399999618530273,VII/155/rc3,
158.688188,-1.969161,13.86,1.0299999713897705,VII/155/rc3,
159.241522,0.230287,14.58,1.0,VII/155/rc3,
159.521939,1.744733,14.79,1.0700000524520874,VII/155/rc3,
159.799023,-0.410548,14.67,0.9700000286102295,VII/155/rc3,IC    632
159.834856,-0.198325,13.67,1.100000023841858,VII/155/rc3,NGC  3325
159.851939,-0.38777,15.2,0.7599999904632568,VII/155/rc3,IC    633
159.856523,1.715844,14.28,1.0199999809265137,VII/155/rc3,
161.554858,1.812789,13.17,1.649999976158142,VII/155/rc3,NGC  3365
162.550276,-1.249993,14.01,1.0499999523162842,VII/155/rc3,A   1047-01
166.454032,-0.037492,9.83,2.0399999618530273,VII/155/rc3,NGC  3521
169.48112,-2.091939,13.9,1.1399999856948853,VII/155/rc3,A   1115-01
172.882792,-2.308606,13.0,1.2799999713897705,VII/155/rc3,
173.056542,0.820565,13.64,1.25,VII/155/rc3,NGC  3719
173.092376,0.804732,13.71,0.9800000190734863,VII/155/rc3,NGC  3720
177.325299,-1.06666,14.01,1.0800000429153442,VII/155/rc3,
177.374049,-1.085549,13.11,1.0700000524520874,VII/155/rc3,NGC  3907
144.43442,2.760845,13.9,1.1200000047683716,VII/155/rc3,NGC  2936
144.437753,2.747511,14.6,1.3200000524520874,VII/155/rc3,NGC  2937
145.225254,5.166681,12.96,1.4199999570846558,VII/155/rc3,NGC  2962
146.573589,5.708348,13.1,1.1100000143051147,VII/155/rc3,NGC  2990
148.822758,4.271402,12.7,1.3200000524520874,VII/155/rc3,NGC  3055
149.999843,5.332515,11.85,1.7100000381469727,VII/155/rc3,Sextans B
153.171514,3.130568,13.07,1.2899999618530273,VII/155/rc3,NGC  3156
153.381097,3.375568,14.5,1.2000000476837158,VII/155/rc3,NGC  3165
153.437764,3.425291,11.32,1.6799999475479126,VII/155/rc3,NGC  3166
153.560264,3.468902,11.08,1.6399999856948853,VII/155/rc3,NGC  3169
155.601933,3.997514,14.04,1.2200000286102295,VII/155/rc3,
156.673601,3.860569,13.2,1.3799999952316284,VII/155/rc3,NGC  3246
157.175269,3.66668,14.55,1.0399999618530273,VII/155/rc3,
157.302769,6.127239,14.79,1.309999942779541,VII/155/rc3,
157.803603,4.470848,13.8,1.5399999618530273,VII/155/rc3,
159.375272,5.616683,15.4,1.0199999809265137,VII/155/rc3,
159.400272,5.583349,14.57,0.949999988079071,VII/155/rc3,IC    628
159.530272,4.893349,15.03,1.0800000429153442,VII/155/rc3,
159.700272,5.68335,14.4,1.0299999713897705,VII/155/rc3,
159.881106,5.108904,14.6,0.7799999713897705,VII/155/rc3,NGC  3326
161.051941,6.758907,13.8,1.2300000190734863,VII/155/rc3,NGC  3356
162.805693,5.841961,11.59,1.5800000429153442,VII/155/rc3,NGC  3423
165.316114,3.626403,12.41,1.690000057220459,VII/155/rc3,NGC  3495
169.373203,4.554738,12.77,1.3200000524520874,VII/155/rc3,NGC  3611
