ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
187.026148,12.896974,16.53,0.800000011920929,VII/155/rc3,
184.391977,12.389195,14.73,1.2699999809265137,VII/155/rc3,IC   3105
184.706144,14.418643,10.44,1.7300000190734863,VII/155/rc3,NGC  4254
184.723644,12.914474,14.3,1.0800000429153442,VII/155/rc3,IC    775
184.810727,13.882531,16.08,0.44999998807907104,VII/155/rc3,A   1216+14
184.940728,12.799196,11.86,1.5099999904632568,VII/155/rc3,NGC  4267
185.322812,11.511138,12.53,1.5099999904632568,VII/155/rc3,NGC  4294
185.386562,14.606976,12.04,1.5099999904632568,VII/155/rc3,NGC  4298
185.419479,11.504194,12.88,1.2400000095367432,VII/155/rc3,NGC  4299
185.427395,14.601421,12.5,1.7400000095367432,VII/155/rc3,NGC  4302
187.026565,12.078639,15.97,0.4099999964237213,VII/155/rc3,
185.516145,12.740307,13.28,1.340000033378601,VII/155/rc3,NGC  4305
185.659062,11.803639,12.54,1.600000023841858,VII/155/rc3,NGC  4313
185.778646,10.619748,14.3,0.9800000190734863,VII/155/rc3,NGC  4325
185.819063,11.36836,13.09,1.649999976158142,VII/155/rc3,NGC  4330
185.934896,12.479473,13.57,1.2000000476837158,VII/155/rc3,IC   3258
185.994896,12.889751,16.21,0.4699999988079071,VII/155/rc3,
186.007813,12.206695,13.03,1.2999999523162842,VII/155/rc3,NGC  4351
186.019896,11.218915,13.49,1.3300000429153442,VII/155/rc3,NGC  4352
186.21698,13.109752,16.29,0.8700000047683716,VII/155/rc3,
186.230313,11.704472,11.79,1.600000023841858,VII/155/rc3,NGC  4371
186.26573,12.887529,10.09,1.809999942779541,VII/155/rc3,NGC  4374
186.302397,14.764199,12.76,1.2300000190734863,VII/155/rc3,NGC  4377
186.312813,12.714751,14.81,0.9900000095367432,VII/155/rc3,IC   3303
186.342813,10.015858,12.66,1.5399999618530273,VII/155/rc3,NGC  4380
186.41448,12.315028,15.75,0.6499999761581421,VII/155/rc3,
186.42448,12.811696,13.01,1.25,VII/155/rc3,NGC  4387
186.446147,12.661696,11.76,1.75,VII/155/rc3,NGC  4388
186.461564,10.459192,13.3,1.2200000286102295,VII/155/rc3,NGC  4390
186.459064,13.19503,16.18,0.5699999928474426,VII/155/rc3,
186.52448,12.560029,15.7,0.8899999856948853,VII/155/rc3,
186.53323,13.112807,12.55,1.590000033378601,VII/155/rc3,NGC  4402
186.54948,12.946974,9.83,1.9500000476837158,VII/155/rc3,NGC  4406
186.632814,12.609751,12.25,1.3700000047683716,VII/155/rc3,NGC  4413
186.638647,13.58003,15.61,0.8600000143051147,VII/155/rc3,IC   3344
186.639064,12.741696,16.19,0.2800000011920929,VII/155/rc3,
186.664481,12.510029,16.23,0.800000011920929,VII/155/rc3,
186.696981,12.451695,14.82,0.949999988079071,VII/155/rc3,IC   3349
186.708647,13.176696,15.18,1.0499999523162842,VII/155/rc3,IC   3355
186.724897,11.561694,15.19,1.1799999475479126,VII/155/rc3,IC   3356
186.731147,13.566697,15.91,0.7099999785423279,VII/155/rc3,
186.764064,12.558362,15.31,1.1100000143051147,VII/155/rc3,IC   3363
186.806147,12.735862,12.73,1.4700000286102295,VII/155/rc3,NGC  4425
186.860314,11.108082,11.02,1.75,VII/155/rc3,NGC  4429
186.861564,12.291139,13.74,1.2400000095367432,VII/155/rc3,NGC  4431
186.919481,13.08003,11.74,1.440000057220459,VII/155/rc3,NGC  4435
186.924064,12.316695,13.91,1.190000057220459,VII/155/rc3,NGC  4436
186.939898,13.010029,11.02,1.9299999475479126,VII/155/rc3,NGC  4438
186.972398,12.293084,12.7,1.2699999809265137,VII/155/rc3,NGC  4440
187.015731,9.805024,11.38,1.659999966621399,VII/155/rc3,NGC  4442
187.036565,12.093361,14.07,1.1200000047683716,VII/155/rc3,IC    794
187.103231,13.193641,15.97,0.8500000238418579,VII/155/rc3,
187.116148,12.821974,15.36,0.7599999904632568,VII/155/rc3,IC   3388
187.174481,12.915863,14.85,1.1200000047683716,VII/155/rc3,IC   3393
187.181148,11.755861,12.87,1.440000057220459,VII/155/rc3,NGC  4452
187.241148,13.243085,12.93,1.2400000095367432,VII/155/rc3,NGC  4458
187.250731,13.979475,11.32,1.5499999523162842,VII/155/rc3,NGC  4459
187.262815,13.185585,12.09,1.5499999523162842,VII/155/rc3,NGC  4461
187.313232,12.978918,16.12,0.6499999761581421,VII/155/rc3,
187.348648,12.450584,15.38,0.800000011920929,VII/155/rc3,
187.380732,14.049753,13.58,1.149999976158142,VII/155/rc3,NGC  4468
187.413648,12.547251,16.44,0.6499999761581421,VII/155/rc3,
187.453649,13.430308,11.16,1.649999976158142,VII/155/rc3,NGC  4473
187.472815,14.068364,12.38,1.3799999952316284,VII/155/rc3,NGC  4474
187.494899,12.348084,13.01,1.2300000190734863,VII/155/rc3,NGC  4476
187.510732,13.636419,11.38,1.5800000429153442,VII/155/rc3,NGC  4477
187.572815,12.328917,12.36,1.2799999713897705,VII/155/rc3,NGC  4478
187.577399,13.578086,13.4,1.190000057220459,VII/155/rc3,NGC  4479
187.634066,12.490862,14.36,0.7799999713897705,VII/155/rc3,NGC  4486B
187.707399,12.390028,9.59,1.9199999570846558,VII/155/rc3,NGC  4486
187.735732,11.483638,13.5,1.2300000190734863,VII/155/rc3,NGC  4491
187.818233,12.332528,15.71,0.6200000047683716,VII/155/rc3,IC   3443
