ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
21.418221,34.71301,13.14,1.3799999952316284,VII/155/rc3,NGC   529
21.579054,34.754398,14.84,1.2699999809265137,VII/155/rc3,NGC   531
21.590304,34.703843,13.2,1.4700000286102295,VII/155/rc3,NGC   536
21.629471,34.67551,15.68,0.9900000095367432,VII/155/rc3,NGC   542
21.895304,31.554681,14.1,1.4700000286102295,VII/155/rc3,A   0124+31
22.003637,32.032736,14.45,1.0700000524520874,VII/155/rc3,
22.944885,33.615234,13.9,1.059999942779541,VII/155/rc3,NGC   579
22.992802,33.476623,14.1,1.350000023841858,VII/155/rc3,NGC   582
23.462385,30.660238,6.27,2.8499999046325684,VII/155/rc3,NGC   598
26.525711,34.373844,14.3,0.8700000047683716,VII/155/rc3,NGC   666
27.679459,33.08218,14.12,1.1799999475479126,VII/155/rc3,IC   1733
27.684459,35.284121,13.35,1.3899999856948853,VII/155/rc3,NGC   688
27.679459,33.08218,14.12,1.1799999475479126,VII/155/rc3,IC   1733
27.684459,35.284121,13.35,1.3899999856948853,VII/155/rc3,NGC   688
29.158623,34.175512,14.07,1.2599999904632568,VII/155/rc3,NGC   735
29.17154,33.043847,13.16,1.190000057220459,VII/155/rc3,NGC   736
30.062789,31.429405,12.49,1.3899999856948853,VII/155/rc3,NGC   777
34.054031,32.649404,14.0,1.2300000190734863,VII/155/rc3,IC   1784
34.054031,32.649404,14.0,1.2300000190734863,VII/155/rc3,IC   1784
35.504861,33.265793,12.2,1.399999976158142,VII/155/rc3,NGC   890
36.820276,33.578015,10.69,2.0199999809265137,VII/155/rc3,NGC   925
38.32569,33.490516,13.9,1.2200000286102295,VII/155/rc3,A   0230+33
39.41777,34.431904,14.2,1.0700000524520874,VII/155/rc3,A   0234+34
39.41777,34.431904,14.2,1.0700000524520874,VII/155/rc3,A   0234+34
40.813186,32.424963,13.0,1.3600000143051147,VII/155/rc3,NGC  1060
40.961519,32.511907,14.55,1.0199999809265137,VII/155/rc3,NGC  1067
49.247339,31.56719,14.89,1.2300000190734863,VII/155/rc3,A   0313+31
52.826914,35.466077,14.53,1.2100000381469727,VII/155/rc3,
58.333159,32.331083,15.0,1.0199999809265137,VII/155/rc3,
58.375242,32.466639,14.7,1.2400000095367432,VII/155/rc3,NGC  1465
59.288156,34.160804,14.9,1.1299999952316284,VII/155/rc3,
60.19982,35.012193,14.7,1.3600000143051147,VII/155/rc3,
61.16482,33.808028,14.7,0.9700000286102295,VII/155/rc3,
61.642322,31.28192,15.3,1.1399999856948853,VII/155/rc3,
26.594877,36.460786,13.74,1.25,VII/155/rc3,NGC   668
26.817377,35.563287,13.36,1.5,VII/155/rc3,NGC   669
27.432792,35.784676,13.33,1.3200000524520874,VII/155/rc3,NGC   679
27.639042,36.370786,13.3,1.149999976158142,VII/155/rc3,NGC   687
27.871125,36.065509,14.5,0.949999988079071,VII/155/rc3,
28.144874,36.500786,13.55,1.2100000381469727,VII/155/rc3,
28.165291,36.17162,14.27,1.0800000429153442,VII/155/rc3,NGC   703
28.191124,36.618564,13.49,1.100000023841858,VII/155/rc3,A   0149+36
28.224457,36.053287,14.27,1.1100000143051147,VII/155/rc3,NGC   710
28.24029,36.513286,14.21,1.2400000095367432,VII/155/rc3,
28.37404,36.220509,14.1,1.190000057220459,VII/155/rc3,NGC   714
28.479873,36.22912,14.86,1.1200000047683716,VII/155/rc3,NGC   717
28.689871,39.383005,14.17,1.2300000190734863,VII/155/rc3,NGC   721
28.721956,36.917175,13.9,0.8500000238418579,VII/155/rc3,A   0151+36
27.639042,36.370786,13.3,1.149999976158142,VII/155/rc3,NGC   687
27.871125,36.065509,14.5,0.949999988079071,VII/155/rc3,
28.144874,36.500786,13.55,1.2100000381469727,VII/155/rc3,
28.165291,36.17162,14.27,1.0800000429153442,VII/155/rc3,NGC   703
28.191124,36.618564,13.49,1.100000023841858,VII/155/rc3,A   0149+36
28.224457,36.053287,14.27,1.1100000143051147,VII/155/rc3,NGC   710
28.24029,36.513286,14.21,1.2400000095367432,VII/155/rc3,
28.37404,36.220509,14.1,1.190000057220459,VII/155/rc3,NGC   714
28.479873,36.22912,14.86,1.1200000047683716,VII/155/rc3,NGC   717
28.689871,39.383005,14.17,1.2300000190734863,VII/155/rc3,NGC   721
28.721956,36.917175,13.9,0.8500000238418579,VII/155/rc3,A   0151+36
29.427372,35.916065,12.97,1.399999976158142,VII/155/rc3,NGC   753
29.460288,36.342176,13.84,1.2000000476837158,VII/155/rc3,NGC   759
29.729454,36.675509,14.06,1.100000023841858,VII/155/rc3,IC    178
30.048619,38.020785,13.56,1.2599999904632568,VII/155/rc3,IC    179
30.866951,38.117452,13.59,1.2000000476837158,VII/155/rc3,NGC   797
30.937784,38.259951,13.96,1.5,VII/155/rc3,NGC   801
32.185281,38.776618,13.2,1.4700000286102295,VII/155/rc3,NGC   818
32.409866,35.795788,14.3,1.3600000143051147,VII/155/rc3,A   0206+35
32.538614,39.19134,13.15,1.4600000381469727,VII/155/rc3,NGC   828
32.755698,37.666342,13.84,1.0399999618530273,VII/155/rc3,NGC   834
32.821948,37.496897,13.42,1.25,VII/155/rc3,NGC   841
33.08153,37.47662,14.34,1.2200000286102295,VII/155/rc3,NGC   845
36.409441,36.964122,14.2,1.1100000143051147,VII/155/rc3,
37.704022,37.135789,12.4,1.3799999952316284,VII/155/rc3,NGC   949
38.22527,38.66662,15.65,1.309999942779541,VII/155/rc3,A   0229+38
39.116518,38.969954,11.8,1.659999966621399,VII/155/rc3,IC    239
40.100683,39.062732,10.35,1.940000057220459,VII/155/rc3,NGC  1023
40.157349,39.057732,14.5,1.1100000143051147,VII/155/rc3,NGC  1023A
40.875266,37.341623,11.82,1.4800000190734863,VII/155/rc3,NGC  1058
40.157349,39.057732,14.5,1.1100000143051147,VII/155/rc3,NGC  1023A
40.875266,37.341623,11.82,1.4800000190734863,VII/155/rc3,NGC  1058
