ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
124.01064,28.623635,14.58,1.0700000524520874,VII/155/rc3,
125.743975,27.707247,15.0,1.0399999618530273,VII/155/rc3,
126.421475,28.11947,15.33,1.2400000095367432,VII/155/rc3,
126.435226,27.874192,14.83,1.059999942779541,VII/155/rc3,IC   2361
126.575226,27.833359,14.37,1.059999942779541,VII/155/rc3,IC   2365
127.060226,28.056971,14.82,1.1399999856948853,VII/155/rc3,
127.350223,31.650028,15.3,0.8199999928474426,VII/155/rc3,
127.85356,27.581415,15.7,1.0399999618530273,VII/155/rc3,
128.82106,28.474194,13.01,1.3600000143051147,VII/155/rc3,NGC  2608
138.386485,29.999758,15.37,0.5199999809265137,VII/155/rc3,
138.416485,29.993646,13.6,1.3200000524520874,VII/155/rc3,NGC  2783
142.569407,29.539204,13.91,1.0499999523162842,VII/155/rc3,NGC  2893
144.851907,32.362541,16.1,0.7200000286102295,VII/155/rc3,A   0936+32B
144.851907,32.362541,16.1,0.7200000286102295,VII/155/rc3,A   0936+32B
145.724826,31.847542,11.99,1.4600000381469727,VII/155/rc3,NGC  2964
145.800242,31.928097,12.78,1.3600000143051147,VII/155/rc3,NGC  2968
145.876493,31.976153,14.38,0.8100000023841858,VII/155/rc3,NGC  2970
147.588995,31.487542,14.46,1.3200000524520874,VII/155/rc3,A   0947+31
148.033581,29.236985,13.18,1.2999999523162842,VII/155/rc3,NGC  3032
149.17525,28.816707,14.76,1.4299999475479126,VII/155/rc3,A   0953+29
149.591914,32.370044,12.78,1.3899999856948853,VII/155/rc3,NGC  3067
149.825249,30.733376,12.92,1.7100000381469727,VII/155/rc3,Leo A
151.023584,31.186155,13.27,1.25,VII/155/rc3,NGC  3106
151.023584,31.186155,13.27,1.25,VII/155/rc3,NGC  3106
151.550253,28.933375,14.5,0.7200000286102295,VII/155/rc3,A   1003+29
152.031503,29.541987,15.62,1.1399999856948853,VII/155/rc3,A   1005+29
152.375253,30.150044,14.69,1.2200000286102295,VII/155/rc3,A   1006+30
156.826511,28.5081,11.7,1.5099999904632568,VII/155/rc3,NGC  3245
156.826511,28.5081,11.7,1.5099999904632568,VII/155/rc3,NGC  3245
157.333594,29.491157,12.41,1.7000000476837158,VII/155/rc3,NGC  3254
158.069847,27.670322,13.21,1.3300000429153442,VII/155/rc3,NGC  3274
158.231096,28.511989,12.5,1.2899999618530273,VII/155/rc3,NGC  3277
159.175263,31.533382,15.21,1.2999999523162842,VII/155/rc3,A   1033+31
162.818187,27.975879,11.96,1.5499999523162842,VII/155/rc3,NGC  3414
165.098607,28.975882,11.05,1.850000023841858,VII/155/rc3,NGC  3486
165.795276,27.973658,11.82,1.4299999475479126,VII/155/rc3,NGC  3504
166.010276,28.038658,12.98,1.2100000381469727,VII/155/rc3,NGC  3512
166.244026,29.139493,15.7,0.4699999988079071,VII/155/rc3,A   1102+29
169.046947,29.390328,13.98,0.8999999761581421,VII/155/rc3,A   1113+29A
169.550282,28.266715,14.89,1.1399999856948853,VII/155/rc3,A   1115+28
178.900298,31.500055,14.8,1.3200000524520874,VII/155/rc3,A   1153+31
179.378215,32.337834,13.5,1.159999966621399,VII/155/rc3,NGC  3991
179.400298,32.278945,13.3,1.0199999809265137,VII/155/rc3,NGC  3994
179.435299,32.293945,12.7,1.440000057220459,VII/155/rc3,NGC  3995
179.5228,27.877273,14.1,1.2599999904632568,VII/155/rc3,NGC  4004
179.571966,28.192829,12.96,1.3899999856948853,VII/155/rc3,NGC  4008
179.622383,27.528939,13.8,1.190000057220459,VII/155/rc3,NGC  4016
179.378215,32.337834,13.5,1.159999966621399,VII/155/rc3,NGC  3991
179.400298,32.278945,13.3,1.0199999809265137,VII/155/rc3,NGC  3994
179.435299,32.293945,12.7,1.440000057220459,VII/155/rc3,NGC  3995
179.5228,27.877273,14.1,1.2599999904632568,VII/155/rc3,NGC  4004
179.571966,28.192829,12.96,1.3899999856948853,VII/155/rc3,NGC  4008
179.622383,27.528939,13.8,1.190000057220459,VII/155/rc3,NGC  4016
181.014885,31.894778,11.9,1.6100000143051147,VII/155/rc3,NGC  4062
181.659887,28.175329,13.06,1.409999966621399,VII/155/rc3,NGC  4104
182.639888,30.401721,12.44,1.3700000047683716,VII/155/rc3,NGC  4150
183.079473,29.180331,13.15,1.2599999904632568,VII/155/rc3,NGC  4169
183.090306,29.20672,13.59,1.7000000476837158,VII/155/rc3,NGC  4173
183.112806,29.14922,14.31,0.9200000166893005,VII/155/rc3,NGC  4174
183.128223,29.16922,14.17,1.2599999904632568,VII/155/rc3,NGC  4175
184.175308,28.716719,14.9,1.159999966621399,VII/155/rc3,A   1214+29
184.404475,29.609498,12.31,1.4600000381469727,VII/155/rc3,NGC  4245
184.533642,28.175607,11.58,1.559999942779541,VII/155/rc3,NGC  4251
184.962393,29.615054,11.34,1.8300000429153442,VII/155/rc3,NGC  4274
185.03031,29.279776,11.09,1.6100000143051147,VII/155/rc3,NGC  4278
185.08781,29.311164,13.0,1.1799999475479126,VII/155/rc3,NGC  4283
185.512394,32.093946,14.1,1.1100000143051147,VII/155/rc3,
185.634477,29.896443,11.43,1.6200000047683716,VII/155/rc3,NGC  4314
185.08781,29.311164,13.0,1.1799999475479126,VII/155/rc3,NGC  4283
185.512394,32.093946,14.1,1.1100000143051147,VII/155/rc3,
185.634477,29.896443,11.43,1.6200000047683716,VII/155/rc3,NGC  4314
186.614896,31.224778,10.96,1.559999942779541,VII/155/rc3,NGC  4414
186.925313,28.683386,15.9,1.1699999570846558,VII/155/rc3,
187.065314,28.620886,12.0,1.590000033378601,VII/155/rc3,NGC  4448
187.975315,29.700054,15.28,1.149999976158142,VII/155/rc3,A   1229+29
188.200315,31.53339,13.0,1.809999942779541,VII/155/rc3,A   1230+31
188.825317,29.500054,15.01,1.0399999618530273,VII/155/rc3,
188.991151,27.960052,10.46,2.0299999713897705,VII/155/rc3,NGC  4559
190.991988,32.171724,10.96,2.180000066757202,VII/155/rc3,NGC  4656
190.991988,32.171724,10.96,2.180000066757202,VII/155/rc3,NGC  4656
191.861989,29.787277,14.56,1.0499999523162842,VII/155/rc3,IC    821
192.775324,28.783386,14.24,1.3200000524520874,VII/155/rc3,NGC  4738
193.223658,28.371441,14.63,1.0,VII/155/rc3,
193.671576,28.937553,12.3,1.440000057220459,VII/155/rc3,NGC  4793
193.872826,27.520607,14.5,1.0,VII/155/rc3,NGC  4807
194.05116,27.745329,13.8,1.1100000143051147,VII/155/rc3,NGC  4816
194.175327,28.000052,15.2,0.7400000095367432,VII/155/rc3,NGC  4828
194.231577,32.448669,15.3,0.8299999833106995,VII/155/rc3,A   1254+32
194.384911,28.477275,13.77,1.2300000190734863,VII/155/rc3,NGC  4841A
194.387411,27.610051,14.72,0.8500000238418579,VII/155/rc3,NGC  4840
194.394077,28.482275,13.61,1.25,VII/155/rc3,NGC  4841B
194.457411,29.654499,15.0,1.0,VII/155/rc3,
194.524078,28.245052,14.41,1.2100000381469727,VII/155/rc3,NGC  4848
194.541161,28.713664,15.48,1.0199999809265137,VII/155/rc3,
194.591161,27.96783,15.22,0.8199999928474426,VII/155/rc3,NGC  4850
194.625328,28.000052,14.1,1.0199999809265137,VII/155/rc3,
194.648244,27.597829,14.41,0.9200000166893005,VII/155/rc3,NGC  4853
194.705328,27.810885,15.1,0.8199999928474426,VII/155/rc3,IC   3946
194.736578,27.83394,15.1,1.0099999904632568,VII/155/rc3,IC   3949
194.759495,28.116441,15.66,0.7300000190734863,VII/155/rc3,NGC  4858
194.767411,28.12283,14.56,1.1399999856948853,VII/155/rc3,NGC  4860
194.771161,27.643662,15.12,0.7300000190734863,VII/155/rc3,A   1256+27C
194.783245,27.855052,15.9,0.6000000238418579,VII/155/rc3,IC   3960
194.784495,27.784218,15.25,0.7200000286102295,VII/155/rc3,IC   3959
194.781578,27.767829,15.8,0.6000000238418579,VII/155/rc3,IC   3957
194.805745,27.975885,14.58,0.7699999809265137,VII/155/rc3,NGC  4864
194.815328,27.968663,15.44,0.8199999928474426,VII/155/rc3,NGC  4867
194.833245,28.084496,14.64,0.9700000286102295,VII/155/rc3,NGC  4865
194.847412,27.910885,14.77,0.8700000047683716,VII/155/rc3,NGC  4869
194.875328,27.955885,15.17,0.8399999737739563,VII/155/rc3,NGC  4871
194.887412,27.983385,15.07,0.9100000262260437,VII/155/rc3,NGC  4873
194.892412,27.946441,15.37,1.190000057220459,VII/155/rc3,NGC  4872
194.897412,27.960052,12.63,1.2899999618530273,VII/155/rc3,NGC  4874
194.935745,27.912552,15.39,0.7400000095367432,VII/155/rc3,NGC  4876
194.990745,28.24533,14.59,0.9900000095367432,VII/155/rc3,NGC  4881
195.017828,27.98533,14.8,1.0299999713897705,VII/155/rc3,NGC  4886
195.034912,27.977552,12.53,1.4600000381469727,VII/155/rc3,NGC  4889
195.039079,27.866163,16.0,0.5,VII/155/rc3,A   1257+28
195.059912,28.040607,15.86,0.6100000143051147,VII/155/rc3,IC   4021
195.075745,28.201719,14.22,1.2599999904632568,VII/155/rc3,NGC  4895
195.126579,28.343941,14.9,1.0,VII/155/rc3,NGC  4896
195.154912,28.056719,15.36,0.8600000143051147,VII/155/rc3,IC   4040
195.164079,29.019498,14.72,1.0700000524520874,VII/155/rc3,IC    842
195.170745,27.996441,15.3,0.8199999928474426,VII/155/rc3,IC   4041
195.200329,28.089496,14.96,0.8899999856948853,VII/155/rc3,IC   4045
195.203662,28.158385,14.4,1.059999942779541,VII/155/rc3,NGC  4907
195.211996,28.041719,14.66,1.0199999809265137,VII/155/rc3,NGC  4908
195.224079,28.006996,14.17,1.0,VII/155/rc3,IC   4051
195.235329,27.792829,13.55,1.159999966621399,VII/155/rc3,NGC  4911
195.324079,27.80894,15.08,1.0299999713897705,VII/155/rc3,NGC  4919
195.354912,28.676997,15.31,0.800000011920929,VII/155/rc3,
195.360329,27.886996,13.04,1.3899999856948853,VII/155/rc3,NGC  4921
