ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
178.491549,-23.165028,12.64,1.4600000381469727,VII/155/rc3,NGC  3955
179.243217,-19.853357,13.89,1.1699999570846558,VII/155/rc3,
179.243217,-19.853357,13.89,1.1699999570846558,VII/155/rc3,
179.606134,-22.440027,13.6,1.409999966621399,VII/155/rc3,A   1155-22
179.873635,-19.331689,14.94,0.9599999785423279,VII/155/rc3,NGC  4027A
179.875719,-19.268078,11.66,1.5,VII/155/rc3,NGC  4027
187.338648,-23.166418,12.79,1.5099999904632568,VII/155/rc3,NGC  4462
189.101985,-19.395023,13.93,0.9399999976158142,VII/155/rc3,
189.300318,-20.033358,14.32,0.8199999928474426,VII/155/rc3,
191.214905,-20.425025,13.64,1.0800000429153442,VII/155/rc3,A   1242-20
193.036575,-21.866694,13.85,0.9900000095367432,VII/155/rc3,
194.365327,-19.691691,13.11,1.2699999809265137,VII/155/rc3,NGC  4830
194.940328,-22.176139,13.59,1.1799999475479126,VII/155/rc3,
198.254501,-19.520023,11.69,1.5199999809265137,VII/155/rc3,NGC  5018
199.730753,-21.039192,10.7,1.8600000143051147,VII/155/rc3,NGC  5068
200.070337,-21.826971,11.63,1.9700000286102295,VII/155/rc3,NGC  5084
200.105754,-20.610303,12.4,1.3700000047683716,VII/155/rc3,NGC  5087
201.329506,-21.133359,12.14,1.440000057220459,VII/155/rc3,NGC  5134
203.28201,-22.59975,13.7,0.9800000190734863,VII/155/rc3,
207.109099,-18.873633,16.52,1.3200000524520874,VII/155/rc3,
207.515767,-22.949472,15.42,1.0399999618530273,VII/155/rc3,
208.717435,-19.673356,15.89,1.1200000047683716,VII/155/rc3,
208.347018,-20.117523,14.68,1.1799999475479126,VII/155/rc3,
209.76327,-19.057521,14.59,0.949999988079071,VII/155/rc3,
210.104522,-23.306694,15.14,0.8899999856948853,VII/155/rc3,
210.357022,-22.571138,15.19,0.949999988079071,VII/155/rc3,
210.392022,-23.139194,14.59,1.1100000143051147,VII/155/rc3,
210.494105,-22.362526,15.14,0.9700000286102295,VII/155/rc3,
210.841189,-22.556693,14.21,1.159999966621399,VII/155/rc3,
212.174108,-21.598358,14.29,1.25,VII/155/rc3,
213.069943,-21.187524,15.4,1.0499999523162842,VII/155/rc3,
222.284957,-20.377243,13.35,1.100000023841858,VII/155/rc3,NGC  5761
222.284957,-20.377243,13.35,1.100000023841858,VII/155/rc3,NGC  5761
224.692044,-19.267518,12.68,1.4199999570846558,VII/155/rc3,NGC  5791
176.76988,-16.854463,11.41,1.5199999809265137,VII/155/rc3,NGC  3887
178.666134,-13.97307,11.62,1.409999966621399,VII/155/rc3,NGC  3962
179.575302,-14.733349,15.8,1.059999942779541,VII/155/rc3,A   1155-14A
179.600302,-14.516682,14.6,1.0499999523162842,VII/155/rc3,A   1155-14B
179.631552,-18.345021,12.65,1.2799999713897705,VII/155/rc3,NGC  4024
180.145303,-17.841687,12.61,1.409999966621399,VII/155/rc3,NGC  4033
180.725304,-16.374463,13.1,1.4900000095367432,VII/155/rc3,NGC  4050
182.045723,-15.804184,14.2,1.149999976158142,VII/155/rc3,
182.061556,-15.717517,13.3,1.0399999618530273,VII/155/rc3,
187.402398,-18.388077,15.1,0.9700000286102295,VII/155/rc3,
193.219908,-15.41335,13.38,1.2100000381469727,VII/155/rc3,NGC  4756
193.363659,-17.005853,12.58,1.1799999475479126,VII/155/rc3,NGC  4763
194.839078,-15.042239,11.49,1.6299999952316284,VII/155/rc3,NGC  4856
194.839078,-15.042239,11.49,1.6299999952316284,VII/155/rc3,NGC  4856
195.249078,-14.513627,11.61,1.4800000190734863,VII/155/rc3,NGC  4902
195.289495,-18.197244,13.53,1.2200000286102295,VII/155/rc3,
195.821996,-17.421965,13.52,1.75,VII/155/rc3,A   1300-17
197.238665,-15.516128,12.25,1.440000057220459,VII/155/rc3,NGC  4984
198.227417,-16.766686,13.6,1.25,VII/155/rc3,NGC  5017
198.705751,-16.493352,13.6,1.159999966621399,VII/155/rc3,NGC  5035
198.748251,-16.59113,12.22,1.350000023841858,VII/155/rc3,NGC  5037
198.997835,-16.397796,13.7,1.2699999809265137,VII/155/rc3,NGC  5049
199.243669,-16.635297,11.67,1.7100000381469727,VII/155/rc3,NGC  5054
202.454508,-17.96641,12.06,1.9199999570846558,VII/155/rc3,NGC  5170
204.515345,-17.882243,10.5,1.75,VII/155/rc3,NGC  5247
216.056197,-16.723072,12.56,1.350000023841858,VII/155/rc3,NGC  5595
216.114947,-16.762795,12.6,1.3200000524520874,VII/155/rc3,NGC  5597
220.600787,-17.25335,12.27,1.4900000095367432,VII/155/rc3,NGC  5728
221.891205,-14.853902,12.34,1.3200000524520874,VII/155/rc3,NGC  5756
224.850793,-16.624181,12.7,1.3899999856948853,VII/155/rc3,NGC  5796
224.85371,-16.693348,14.3,1.2200000286102295,VII/155/rc3,NGC  5793
