ra_deg,dec_deg,mag,size_arcmin,source_catalog,name
307.700414,20.283327,14.3,1.2899999618530273,VII/155/rc3,
310.375411,19.183327,15.0,1.149999976158142,VII/155/rc3,
312.850409,18.949993,14.7,0.9900000095367432,VII/155/rc3,
314.375407,18.799992,15.1,1.0700000524520874,VII/155/rc3,
319.900404,21.966653,15.01,1.2100000381469727,VII/155/rc3,
320.28332,23.084985,14.02,1.1399999856948853,VII/155/rc3,NGC  7053
320.373319,21.240542,14.27,1.2000000476837158,VII/155/rc3,IC   5104
320.532068,18.665545,13.75,0.9800000190734863,VII/155/rc3,NGC  7056
322.2004,20.499987,14.21,1.1299999952316284,VII/155/rc3,
284.175428,25.23334,14.5,0.9100000262260437,VII/155/rc3,
307.121251,25.723324,14.4,0.949999988079071,VII/155/rc3,NGC  6921
314.300412,25.949986,14.4,1.4900000095367432,VII/155/rc3,
322.507487,26.718036,13.13,1.2599999904632568,VII/155/rc3,NGC  7080
