center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h29m09.7s,+12d00m00.0s,12h30m30.3s,+11d51m12.6s,37,7,NGC  4431; NGC  4436; NGC  4440; NGC  4452; NGC  4476; NGC  4478; NGC  4486,1813,67.14814814814815,A
12h28m43.4s,+09d30m00.0s,12h30m04.2s,+09d21m12.5s,31,6,NGC  4417; NGC  4424; NGC  4442; NGC  4445; NGC  4451; NGC  4483,1116,41.333333333333336,B
12h22m56.5s,+11d30m00.0s,12h24m17.4s,+11d21m11.0s,30,6,NGC  4330; NGC  4352; NGC  4294; NGC  4299; NGC  4313; NGC  4371,1080,40.0,B
12h20m12.2s,+05d30m00.0s,12h21m33.5s,+05d21m10.3s,22,7,NGC  4261; NGC  4264; NGC  4268; NGC  4270; NGC  4273; NGC  4277; NGC  4281,1078,39.92592592592592,C
13h16m07.4s,-16d30m00.0s,13h17m32.5s,-16d38m22.2s,38,4,NGC  5035; NGC  5037; NGC  5049; NGC  5054,608,22.51851851851852,A
12h18m18.9s,+07d00m00.0s,12h19m40.2s,+06d51m10.0s,23,5,NGC  4224; NGC  4235; NGC  4241; NGC  4246; IC   3115,575,21.296296296296298,C
12h32m37.3s,+08d30m00.0s,12h33m58.2s,+08d21m13.7s,29,4,NGC  4488; NGC  4492; NGC  4519; NGC  4535,464,17.185185185185187,B
12h35m05.1s,+11d00m00.0s,12h36m25.7s,+10d51m14.6s,28,4,NGC  4528; NGC  4564; NGC  4567; NGC  4568,448,16.59259259259259,B
14h20m18.4s,+03d30m00.0s,14h21m38.8s,+03d22m45.6s,26,4,NGC  5560; NGC  5566; NGC  5574; NGC  5576,416,15.407407407407408,C
12h37m34.7s,+13d00m00.0s,12h38m55.0s,+12d51m15.5s,22,4,NGC  4552; IC   3583; NGC  4569; NGC  4584,352,13.037037037037036,C
14h54m22.2s,+03d30m00.0s,14h55m42.3s,+03d23m35.9s,35,3,NGC  5770; NGC  5774; NGC  5775,315,11.666666666666666,A
12h29m22.1s,+13d00m00.0s,12h30m42.6s,+12d51m12.7s,17,4,NGC  4435; NGC  4438; NGC  4458; NGC  4461,272,10.074074074074074,C
12h51m23.1s,+11d00m00.0s,12h52m43.2s,+10d51m21.8s,21,3,NGC  4733; NGC  4754; NGC  4762,189,7.0,C
12h15m00.0s,+13d00m00.0s,12h16m21.0s,+12d51m09.4s,18,3,NGC  4193; NGC  4206; NGC  4216,162,6.0,C
