center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
19h56m21.1s,+05d30m00.0s,19h57m39.7s,+05d34m19.9s,173,2,A   1954+05,692,5.448818897637795,none
19h56m25.1s,+06d00m00.0s,19h57m43.5s,+06d04m20.0s,168,2,A   1954+05,672,5.291338582677166,none
19h54m20.5s,+05d30m00.0s,19h55m39.1s,+05d34m15.8s,177,1,,177,1.3937007874015748,none
19h58m21.6s,+05d30m00.0s,19h59m40.3s,+05d34m24.0s,174,1,A   1954+05,174,1.3700787401574803,none
19h54m24.5s,+06d00m00.0s,19h55m42.8s,+06d04m16.0s,170,1,,170,1.3385826771653544,none
19h58m25.8s,+06d00m00.0s,19h59m44.1s,+06d04m24.1s,167,1,A   1954+05,167,1.31496062992126,none
20h00m06.6s,+03d00m00.0s,20h01m26.6s,+03d04m27.5s,140,1,,140,1.1023622047244095,none
19h58m04.5s,+02d30m00.0s,19h59m24.7s,+02d34m23.4s,119,1,,119,0.937007874015748,none
19h58m06.4s,+03d00m00.0s,19h59m26.4s,+03d04m23.5s,117,1,,117,0.9212598425196851,none
19h42m27.9s,-07d00m00.0s,19h43m53.4s,-06d56m08.5s,115,1,NGC  6821,115,0.905511811023622,none
19h42m24.1s,-06d30m00.0s,19h43m49.3s,-06d26m08.7s,114,1,NGC  6821,114,0.8976377952755905,none
19h41m01.3s,-10d30m00.0s,19h42m28.8s,-10d26m11.5s,113,1,NGC  6814,113,0.889763779527559,none
19h42m57.4s,-10d00m00.0s,19h44m24.6s,-09d56m07.5s,113,1,NGC  6814,113,0.889763779527559,none
20h00m04.6s,+02d30m00.0s,20h01m24.8s,+02d34m27.4s,113,1,,113,0.889763779527559,none
19h40m55.5s,-10d00m00.0s,19h42m22.8s,-09d56m11.7s,111,1,NGC  6814,111,0.8740157480314961,none
19h43m03.4s,-10d30m00.0s,19h44m30.9s,-10d26m07.3s,110,1,NGC  6814,110,0.8661417322834646,none
19h44m24.8s,-06d30m00.0s,19h45m50.1s,-06d26m04.5s,109,1,NGC  6821,109,0.8582677165354331,none
20h22m39.6s,+06d30m00.0s,20h23m57.9s,+06d35m11.3s,104,1,NGC  6906,104,0.8188976377952756,none
20h22m33.7s,+06d00m00.0s,20h23m52.3s,+06d05m11.2s,100,1,NGC  6906,100,0.7874015748031497,none
19h44m28.8s,-07d00m00.0s,19h45m54.3s,-06d56m04.3s,91,1,NGC  6821,91,0.7165354330708661,none
20h34m04.2s,-02d00m00.0s,20h35m26.7s,-01d54m27.5s,82,1,NGC  6926,82,0.6456692913385826,none
20h34m06.5s,-02d30m00.0s,20h35m29.3s,-02d24m27.4s,80,1,NGC  6926,80,0.6299212598425197,none
20h32m04.1s,-02d00m00.0s,20h33m26.7s,-01d54m31.2s,65,1,NGC  6926,65,0.5118110236220472,none
20h32m06.4s,-02d30m00.0s,20h33m29.2s,-02d24m31.1s,58,1,NGC  6926,58,0.4566929133858268,none
20h09m27.9s,+16d00m00.0s,20h10m41.0s,+16d04m45.9s,100,0,,0,0.0,none
20h11m32.8s,+16d00m00.0s,20h12m45.8s,+16d04m50.0s,108,0,,0,0.0,none
20h13m37.6s,+16d00m00.0s,20h14m50.7s,+16d04m54.0s,73,0,,0,0.0,none
18h58m46.4s,+16d30m00.0s,18h59m57.8s,+16d32m16.3s,110,0,,0,0.0,none
19h00m51.5s,+16d30m00.0s,19h02m03.0s,+16d32m20.9s,165,0,,0,0.0,none
19h02m56.7s,+16d30m00.0s,19h04m08.2s,+16d32m25.6s,181,0,,0,0.0,none
19h00m24.6s,-11d30m00.0s,19h01m53.1s,-11d27m39.7s,113,0,,0,0.0,none
19h39m11.3s,-11d30m00.0s,19h40m39.4s,-11d26m15.4s,89,0,,0,0.0,none
19h41m13.8s,-11d30m00.0s,19h42m41.9s,-11d26m11.1s,92,0,,0,0.0,none
19h43m16.2s,-11d30m00.0s,19h44m44.3s,-11d26m06.8s,93,0,,0,0.0,none
19h45m18.7s,-11d30m00.0s,19h46m46.7s,-11d26m02.6s,72,0,,0,0.0,none
19h47m21.1s,-11d30m00.0s,19h48m49.1s,-11d25m58.3s,59,0,,0,0.0,none
19h49m23.6s,-11d30m00.0s,19h50m51.6s,-11d25m54.1s,75,0,,0,0.0,none
19h51m26.0s,-11d30m00.0s,19h52m54.0s,-11d25m49.9s,85,0,,0,0.0,none
19h53m28.5s,-11d30m00.0s,19h54m56.4s,-11d25m45.8s,68,0,,0,0.0,none
19h55m31.0s,-11d30m00.0s,19h56m58.9s,-11d25m41.6s,59,0,,0,0.0,none
19h57m33.4s,-11d30m00.0s,19h59m01.3s,-11d25m37.5s,70,0,,0,0.0,none
19h59m35.9s,-11d30m00.0s,20h01m03.7s,-11d25m33.4s,63,0,,0,0.0,none
20h01m38.3s,-11d30m00.0s,20h03m06.1s,-11d25m29.3s,56,0,,0,0.0,none
20h03m40.8s,-11d30m00.0s,20h05m08.6s,-11d25m25.2s,51,0,,0,0.0,none
20h05m43.3s,-11d30m00.0s,20h07m11.0s,-11d25m21.2s,36,0,,0,0.0,none
19h00m22.5s,-11d00m00.0s,19h01m50.7s,-10d57m39.8s,151,0,,0,0.0,none
19h02m24.7s,-11d00m00.0s,19h03m52.9s,-10d57m35.3s,158,0,,0,0.0,none
19h04m27.0s,-11d00m00.0s,19h05m55.2s,-10d57m30.7s,159,0,,0,0.0,none
19h06m29.2s,-11d00m00.0s,19h07m57.4s,-10d57m26.2s,134,0,,0,0.0,none
19h08m31.4s,-11d00m00.0s,19h09m59.6s,-10d57m21.7s,110,0,,0,0.0,none
