center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
00h19m19.1s,+59d15m00.0s,00h20m45.9s,+59d23m49.9s,24,1,IC     10,24,2.1818181818181817,none
00h21m24.9s,+59d09m00.0s,00h22m52.2s,+59d17m49.4s,21,1,IC     10,21,1.9090909090909092,none
00h20m06.0s,+59d15m00.0s,00h21m33.1s,+59d23m49.7s,20,1,IC     10,20,1.8181818181818181,none
00h19m51.3s,+59d09m00.0s,00h21m18.2s,+59d17m49.8s,20,1,IC     10,20,1.8181818181818181,none
00h20m53.0s,+59d15m00.0s,00h22m20.2s,+59d23m49.6s,16,1,IC     10,16,1.4545454545454546,none
00h20m38.1s,+59d09m00.0s,00h22m05.2s,+59d17m49.6s,16,1,IC     10,16,1.4545454545454546,none
00h21m08.0s,+59d21m00.0s,00h22m35.3s,+59d29m49.5s,13,1,IC     10,13,1.1818181818181819,none
00h19m33.8s,+59d21m00.0s,00h21m00.7s,+59d29m49.8s,13,1,IC     10,13,1.1818181818181819,none
00h20m20.9s,+59d21m00.0s,00h21m48.0s,+59d29m49.7s,11,1,IC     10,11,1.0,none
01h54m21.0s,+73d15m00.0s,01h56m39.8s,+73d22m45.8s,11,1,,11,1.0,none
00h33m46.9s,+48d39m00.0s,00h35m14.6s,+48d47m45.9s,10,1,NGC   147,10,0.9090909090909091,none
00h39m37.3s,+48d15m00.0s,00h41m05.9s,+48d23m43.7s,10,1,NGC   185,10,0.9090909090909091,none
00h38m49.4s,+48d27m00.0s,00h40m17.9s,+48d35m44.0s,10,1,NGC   185,10,0.9090909090909091,none
00h38m37.3s,+48d21m00.0s,00h40m05.7s,+48d29m44.1s,9,1,NGC   185,9,0.8181818181818182,none
00h39m13.4s,+48d21m00.0s,00h40m42.0s,+48d29m43.9s,9,1,NGC   185,9,0.8181818181818182,none
00h39m49.5s,+48d21m00.0s,00h41m18.2s,+48d29m43.6s,9,1,NGC   185,9,0.8181818181818182,none
00h52m05.0s,+47d39m00.0s,00h53m35.5s,+47d47m37.8s,9,1,NGC   278,9,0.8181818181818182,none
00h52m40.6s,+47d39m00.0s,00h54m11.2s,+47d47m37.5s,9,1,NGC   278,9,0.8181818181818182,none
01h54m42.2s,+73d09m00.0s,01h57m00.7s,+73d16m45.4s,9,1,,9,0.8181818181818182,none
00h33m10.6s,+48d39m00.0s,00h34m38.1s,+48d47m46.1s,8,1,NGC   147,8,0.7272727272727273,none
00h38m25.2s,+48d15m00.0s,00h39m53.6s,+48d23m44.2s,8,1,NGC   185,8,0.7272727272727273,none
