center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
21h36m18.8s,+35d30m00.0s,21h37m25.5s,+35d37m11.5s,137,2,IC   1392,548,3.3012048192771086,none
19h43m35.9s,+45d00m00.0s,19h44m25.6s,+45d03m53.2s,176,1,,176,1.0602409638554218,none
19h43m56.9s,+45d30m00.0s,19h44m46.0s,+45d33m53.9s,170,1,,170,1.0240963855421688,none
20h00m35.8s,+50d30m00.0s,20h01m20.2s,+50d34m27.9s,168,1,,168,1.0120481927710843,none
19h40m46.2s,+45d00m00.0s,19h41m35.7s,+45d03m47.3s,167,1,,167,1.0060240963855422,none
19h41m05.7s,+45d30m00.0s,19h41m54.6s,+45d33m47.9s,160,1,,160,0.963855421686747,none
19h42m08.2s,+51d00m00.0s,19h42m50.3s,+51d03m50.0s,158,1,A   1940+50,158,0.9518072289156626,none
20h00m00.4s,+50d00m00.0s,20h00m45.4s,+50d04m26.7s,157,1,,157,0.9457831325301205,none
19h38m57.5s,+51d00m00.0s,19h39m39.3s,+51d03m43.3s,153,1,A   1940+50,153,0.9216867469879518,none
19h41m43.9s,+50d30m00.0s,19h42m26.6s,+50d33m49.2s,151,1,A   1940+50,151,0.9096385542168675,none
19h38m35.2s,+50d30m00.0s,19h39m17.7s,+50d33m42.6s,145,1,A   1940+50,145,0.8734939759036144,none
21h05m47.4s,+29d30m00.0s,21h06m55.1s,+29d36m26.4s,142,1,NGC  7013,142,0.8554216867469879,none
19h57m27.2s,+50d30m00.0s,19h58m11.3s,+50d34m21.5s,142,1,,142,0.8554216867469879,none
19h43m51.6s,+56d30m00.0s,19h44m25.0s,+56d33m53.4s,141,1,NGC  6824,141,0.8493975903614458,none
21h01m46.8s,+30d00m00.0s,21h02m54.0s,+30d06m19.9s,140,1,NGC  7013,140,0.8433734939759037,none
19h56m53.7s,+50d00m00.0s,19h57m38.4s,+50d04m20.4s,140,1,,140,0.8433734939759037,none
21h37m16.3s,+36d00m00.0s,21h38m22.9s,+36d07m12.7s,140,1,,140,0.8433734939759037,none
21h38m46.2s,+35d30m00.0s,21h39m53.2s,+35d37m14.8s,136,1,,136,0.8192771084337349,none
19h31m33.2s,+54d30m00.0s,19h32m09.0s,+54d33m27.5s,134,1,A   1930+54,134,0.8072289156626506,none
19h46m55.1s,+56d00m00.0s,19h47m29.8s,+56d03m59.8s,134,1,NGC  6824,134,0.8072289156626506,none
21h03m29.5s,+29d30m00.0s,21h04m37.1s,+29d36m22.7s,133,1,NGC  7013,133,0.8012048192771084,none
21h34m48.0s,+36d00m00.0s,21h35m54.4s,+36d07m09.4s,132,1,,132,0.7951807228915663,none
21h04m05.3s,+30d00m00.0s,21h05m12.7s,+30d06m23.6s,131,1,NGC  7013,131,0.7891566265060241,none
19h43m20.5s,+56d00m00.0s,19h43m54.8s,+56d03m52.4s,129,1,NGC  6824,129,0.7771084337349398,none
21h35m22.6s,+35d00m00.0s,21h36m29.5s,+35d07m10.2s,126,1,IC   1392,126,0.7590361445783133,none
21h37m49.1s,+35d00m00.0s,21h38m56.2s,+35d07m13.5s,117,1,IC   1392,117,0.7048192771084337,none
