center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
22h17m12.0s,+41d00m00.0s,22h18m20.3s,+41d07m59.8s,114,2,NGC  7248; NGC  7250,456,3.4029850746268657,none
22h17m02.5s,+40d30m00.0s,22h18m11.0s,+40d37m59.7s,103,2,NGC  7248; NGC  7250,412,3.074626865671642,none
22h19m51.0s,+41d00m00.0s,22h20m59.6s,+41d08m02.5s,118,1,NGC  7250,118,0.8805970149253731,none
22h19m40.3s,+40d30m00.0s,22h20m49.1s,+40d38m02.3s,112,1,NGC  7250,112,0.835820895522388,none
22h42m00.0s,+38d30m00.0s,22h43m12.2s,+38d38m21.8s,108,1,A   2237+37,108,0.8059701492537313,none
22h14m24.7s,+40d30m00.0s,22h15m32.9s,+40d37m57.0s,106,1,NGC  7248,106,0.7910447761194029,none
22h39m26.7s,+38d30m00.0s,22h40m38.6s,+38d38m19.8s,104,1,A   2237+37,104,0.7761194029850746,none
22h14m33.0s,+41d00m00.0s,22h15m41.0s,+41d07m57.1s,99,1,NGC  7248,99,0.7388059701492538,none
22h39m08.8s,+38d00m00.0s,22h40m20.9s,+38d08m19.6s,94,1,A   2237+37,94,0.7014925373134329,none
22h20m52.8s,+36d30m00.0s,22h22m03.4s,+36d38m03.5s,91,1,NGC  7265,91,0.6791044776119403,none
22h23m22.1s,+36d30m00.0s,22h24m33.0s,+36d38m05.8s,87,1,NGC  7265,87,0.6492537313432836,none
22h41m41.1s,+38d00m00.0s,22h42m53.5s,+38d08m21.6s,84,1,A   2237+37,84,0.6268656716417911,none
22h20m43.3s,+36d00m00.0s,22h21m54.1s,+36d08m03.3s,81,1,NGC  7265,81,0.6044776119402985,none
22h23m11.6s,+36d00m00.0s,22h24m22.7s,+36d08m05.7s,80,1,NGC  7265,80,0.5970149253731343,none
22h10m50.0s,+36d00m00.0s,22h11m59.8s,+36d07m53.3s,83,0,,0,0.0,none
22h55m16.6s,+55d00m00.0s,22h56m24.2s,+55d08m31.2s,138,0,,0,0.0,none
22h50m23.2s,+36d00m00.0s,22h51m37.2s,+36d08m27.9s,71,0,,0,0.0,none
22h31m45.9s,+56d00m00.0s,22h32m47.9s,+56d08m13.4s,167,0,,0,0.0,none
22h28m11.4s,+56d00m00.0s,22h29m12.5s,+56d08m10.2s,179,0,,0,0.0,none
22h05m53.3s,+36d00m00.0s,22h07m02.6s,+36d07m47.9s,46,0,,0,0.0,none
22h15m46.6s,+36d00m00.0s,22h16m57.0s,+36d07m58.4s,84,0,,0,0.0,none
