center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h36m13.3s,+11d20m36.0s,12h37m33.8s,+11d11m51.0s,7,3,NGC  4564; NGC  4567; NGC  4568,63,31.5,A
12h30m33.7s,+12d26m36.0s,12h31m54.3s,+12d17m49.1s,5,3,NGC  4476; NGC  4478; NGC  4486,45,22.5,A
12h27m41.4s,+12d20m36.0s,12h29m02.1s,+12d11m48.2s,4,3,NGC  4431; NGC  4436; NGC  4440,36,18.0,A
12h27m41.2s,+12d14m36.0s,12h29m01.9s,+12d05m48.2s,4,3,NGC  4431; NGC  4436; NGC  4440,36,18.0,A
12h36m37.8s,+11d20m36.0s,12h37m58.2s,+11d11m51.2s,4,3,NGC  4564; NGC  4567; NGC  4568,36,18.0,A
12h30m33.4s,+12d20m36.0s,12h31m54.0s,+12d11m49.1s,4,3,NGC  4476; NGC  4478; NGC  4486,36,18.0,A
12h26m03.9s,+12d44m36.0s,12h27m24.6s,+12d35m47.8s,3,3,NGC  4387; NGC  4388; NGC  4413,27,13.5,A
12h30m33.1s,+12d14m36.0s,12h31m53.7s,+12d05m49.1s,3,3,NGC  4476; NGC  4478; NGC  4486,27,13.5,A
12h37m02.2s,+11d20m36.0s,12h38m22.7s,+11d11m51.3s,3,3,NGC  4564; NGC  4567; NGC  4568,27,13.5,A
12h27m16.9s,+12d20m36.0s,12h28m37.5s,+12d11m48.1s,3,3,NGC  4431; NGC  4436; NGC  4440,27,13.5,A
12h27m16.6s,+12d14m36.0s,12h28m37.3s,+12d05m48.1s,3,3,NGC  4431; NGC  4436; NGC  4440,27,13.5,A
12h25m14.7s,+12d44m36.0s,12h26m35.4s,+12d35m47.5s,3,3,NGC  4374; NGC  4387; NGC  4388,27,13.5,A
12h36m12.9s,+11d14m36.0s,12h37m33.4s,+11d05m51.0s,6,2,NGC  4567; NGC  4568,24,12.0,none
12h21m32.1s,+11d26m36.0s,12h22m53.1s,+11d17m46.6s,5,2,NGC  4294; NGC  4299,20,10.0,none
12h36m37.4s,+11d14m36.0s,12h37m57.8s,+11d05m51.2s,5,2,NGC  4567; NGC  4568,20,10.0,none
12h29m24.6s,+14d02m36.0s,12h30m45.0s,+13d53m48.7s,2,3,NGC  4459; NGC  4468; NGC  4474,18,9.0,none
12h29m24.3s,+13d56m36.0s,12h30m44.7s,+13d47m48.7s,2,3,NGC  4459; NGC  4468; NGC  4474,18,9.0,none
12h25m39.3s,+12d44m36.0s,12h27m00.0s,+12d35m47.6s,2,3,NGC  4374; NGC  4387; NGC  4388,18,9.0,none
12h29m21.9s,+13d08m36.0s,12h30m42.5s,+12d59m48.7s,4,2,NGC  4458; NGC  4461,16,8.0,none
12h29m44.3s,+12d20m36.0s,12h31m04.9s,+12d11m48.8s,4,2,NGC  4476; NGC  4478,16,8.0,none
12h36m37.0s,+11d08m36.0s,12h37m57.4s,+10d59m51.2s,4,2,NGC  4567; NGC  4568,16,8.0,none
12h26m03.7s,+12d38m36.0s,12h27m24.4s,+12d29m47.8s,4,2,NGC  4388; NGC  4413,16,8.0,none
12h36m12.5s,+11d08m36.0s,12h37m33.0s,+10d59m51.0s,4,2,NGC  4567; NGC  4568,16,8.0,none
12h29m44.0s,+12d14m36.0s,12h31m04.6s,+12d05m48.8s,4,2,NGC  4476; NGC  4478,16,8.0,none
12h26m03.5s,+12d32m36.0s,12h27m24.2s,+12d23m47.7s,4,2,NGC  4388; NGC  4413,16,8.0,none
12h28m05.8s,+12d14m36.0s,12h29m26.4s,+12d05m48.3s,4,2,NGC  4436; NGC  4440,16,8.0,none
12h21m32.2s,+11d32m36.0s,12h22m53.1s,+11d23m46.6s,4,2,NGC  4294; NGC  4299,16,8.0,none
12h28m06.0s,+12d20m36.0s,12h29m26.6s,+12d11m48.3s,4,2,NGC  4436; NGC  4440,16,8.0,none
12h36m20.9s,+13d08m36.0s,12h37m41.2s,+12d59m51.1s,4,2,IC   3583; NGC  4569,16,8.0,none
12h36m45.5s,+13d08m36.0s,12h38m05.8s,+12d59m51.2s,3,2,IC   3583; NGC  4569,12,6.0,none
12h36m21.4s,+13d14m36.0s,12h37m41.6s,+13d05m51.1s,3,2,IC   3583; NGC  4569,12,6.0,none
12h28m59.6s,+13d56m36.0s,12h30m20.0s,+13d47m48.6s,3,2,NGC  4459; NGC  4468,12,6.0,none
12h35m27.8s,+12d14m36.0s,12h36m48.2s,+12d05m50.7s,3,2,NGC  4550; NGC  4551,12,6.0,none
12h29m49.7s,+14d08m36.0s,12h31m10.1s,+13d59m48.8s,3,2,NGC  4468; NGC  4474,12,6.0,none
12h29m44.6s,+12d26m36.0s,12h31m05.1s,+12d17m48.8s,3,2,NGC  4476; NGC  4478,12,6.0,none
12h21m10.3s,+14d32m36.0s,12h22m31.0s,+14d23m46.5s,3,2,NGC  4298; NGC  4302,12,6.0,none
12h23m35.8s,+12d20m36.0s,12h24m56.5s,+12d11m47.1s,3,2,IC   3258; NGC  4351,12,6.0,none
12h23m34.5s,+11d20m36.0s,12h24m55.3s,+11d11m47.1s,3,2,NGC  4330; NGC  4352,12,6.0,none
12h35m27.4s,+12d08m36.0s,12h36m47.8s,+11d59m50.7s,3,2,NGC  4550; NGC  4551,12,6.0,none
12h21m07.8s,+11d38m36.0s,12h22m28.7s,+11d29m46.5s,3,2,NGC  4294; NGC  4299,12,6.0,none
12h35m28.2s,+12d20m36.0s,12h36m48.6s,+12d11m50.7s,3,2,NGC  4550; NGC  4551,12,6.0,none
12h37m01.8s,+11d14m36.0s,12h38m22.3s,+11d05m51.3s,3,2,NGC  4567; NGC  4568,12,6.0,none
12h27m41.0s,+12d08m36.0s,12h29m01.7s,+11d59m48.2s,3,2,NGC  4431; NGC  4440,12,6.0,none
12h28m32.6s,+13d08m36.0s,12h29m53.2s,+12d59m48.5s,3,2,NGC  4458; NGC  4461,12,6.0,none
12h35m52.0s,+12d08m36.0s,12h37m12.4s,+11d59m50.9s,3,2,NGC  4550; NGC  4551,12,6.0,none
12h28m57.3s,+13d08m36.0s,12h30m17.8s,+12d59m48.6s,3,2,NGC  4458; NGC  4461,12,6.0,none
12h25m39.5s,+12d50m36.0s,12h27m00.2s,+12d41m47.6s,1,3,NGC  4374; NGC  4387; NGC  4406,9,4.5,none
12h30m12.5s,+13d32m36.0s,12h31m32.9s,+13d23m49.0s,1,3,NGC  4473; NGC  4477; NGC  4479,9,4.5,none
12h21m59.9s,+14d32m36.0s,12h23m20.6s,+14d23m46.7s,2,2,NGC  4298; NGC  4302,8,4.0,none
12h35m52.4s,+12d14m36.0s,12h37m12.8s,+12d05m50.9s,2,2,NGC  4550; NGC  4551,8,4.0,none
12h30m09.1s,+12d26m36.0s,12h31m29.7s,+12d17m48.9s,2,2,NGC  4476; NGC  4478,8,4.0,none
12h30m12.1s,+13d26m36.0s,12h31m32.6s,+13d17m49.0s,2,2,NGC  4473; NGC  4479,8,4.0,none
12h29m22.5s,+13d20m36.0s,12h30m43.0s,+13d11m48.7s,2,2,NGC  4458; NGC  4473,8,4.0,none
12h30m08.6s,+12d14m36.0s,12h31m29.1s,+12d05m48.9s,2,2,NGC  4476; NGC  4478,8,4.0,none
12h21m07.7s,+11d32m36.0s,12h22m28.7s,+11d23m46.5s,2,2,NGC  4294; NGC  4299,8,4.0,none
12h37m10.7s,+13d14m36.0s,12h38m30.9s,+13d05m51.4s,2,2,IC   3583; NGC  4569,8,4.0,none
12h25m14.9s,+12d50m36.0s,12h26m35.6s,+12d41m47.5s,2,2,NGC  4374; NGC  4387,8,4.0,none
12h37m01.4s,+11d08m36.0s,12h38m21.9s,+10d59m51.3s,2,2,NGC  4567; NGC  4568,8,4.0,none
12h36m46.0s,+13d14m36.0s,12h38m06.3s,+13d05m51.2s,2,2,IC   3583; NGC  4569,8,4.0,none
12h29m22.2s,+13d14m36.0s,12h30m42.7s,+13d05m48.7s,2,2,NGC  4458; NGC  4461,8,4.0,none
12h28m32.9s,+13d14m36.0s,12h29m53.4s,+13d05m48.5s,2,2,NGC  4458; NGC  4461,8,4.0,none
12h37m10.2s,+13d08m36.0s,12h38m30.4s,+12d59m51.4s,2,2,IC   3583; NGC  4569,8,4.0,none
