center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
03h19m48.2s,+41d27m00.0s,03h21m33.9s,+41d32m40.7s,6,4,NGC  1272; NGC  1275; NGC  1278; NGC  1282,96,12.0,C
03h19m26.5s,+41d33m00.0s,03h21m12.2s,+41d38m41.3s,10,3,NGC  1272; NGC  1275; NGC  1278,90,11.25,B
03h19m58.5s,+41d33m00.0s,03h21m44.3s,+41d38m40.4s,7,3,NGC  1272; NGC  1275; NGC  1278,63,7.875,C
03h00m48.8s,+44d51m00.0s,03h02m35.5s,+44d57m13.3s,15,2,NGC  1160; NGC  1161,60,7.5,none
03h19m16.2s,+41d27m00.0s,03h21m01.8s,+41d32m41.6s,6,3,NGC  1272; NGC  1275; NGC  1278,54,6.75,C
03h20m20.2s,+41d27m00.0s,03h22m05.9s,+41d32m39.7s,6,3,NGC  1275; NGC  1278; NGC  1282,54,6.75,C
03h00m58.4s,+44d57m00.0s,03h02m45.3s,+45d03m13.0s,11,2,NGC  1160; NGC  1161,44,5.5,none
03h00m24.5s,+44d57m00.0s,03h02m11.4s,+45d03m14.0s,11,2,NGC  1160; NGC  1161,44,5.5,none
03h01m22.6s,+44d51m00.0s,03h03m09.5s,+44d57m12.4s,10,2,NGC  1160; NGC  1161,40,5.0,none
03h01m32.4s,+44d57m00.0s,03h03m19.3s,+45d03m12.1s,9,2,NGC  1160; NGC  1161,36,4.5,none
03h01m56.5s,+44d51m00.0s,03h03m43.4s,+44d57m11.4s,9,2,NGC  1160; NGC  1161,36,4.5,none
03h20m30.6s,+41d33m00.0s,03h22m16.5s,+41d38m39.4s,8,2,NGC  1275; NGC  1278,32,4.0,none
03h19m37.9s,+41d21m00.0s,03h21m23.5s,+41d26m41.0s,7,2,NGC  1272; NGC  1282,28,3.5,none
03h16m04.0s,+41d27m00.0s,03h17m49.4s,+41d32m47.3s,7,2,NGC  1250; IC    310,28,3.5,none
03h19m36.8s,+41d39m00.0s,03h21m22.7s,+41d44m41.0s,5,2,NGC  1275; NGC  1278,20,2.5,none
03h20m09.0s,+41d39m00.0s,03h21m54.9s,+41d44m40.1s,5,2,NGC  1275; NGC  1278,20,2.5,none
03h05m18.5s,+42d27m00.0s,03h07m03.7s,+42d33m05.8s,14,1,NGC  1175,14,1.75,none
02h49m00.3s,+46d51m00.0s,02h50m47.5s,+46d57m32.3s,14,1,IC    257,14,1.75,none
03h00m34.2s,+45d03m00.0s,03h02m21.2s,+45d09m13.7s,14,1,NGC  1160,14,1.75,none
03h05m00.0s,+42d15m00.0s,03h06m44.9s,+42d21m06.3s,13,1,NGC  1175,13,1.625,none
03h05m41.6s,+42d21m00.0s,03h07m26.8s,+42d27m05.2s,13,1,IC    284,13,1.625,none
03h05m51.0s,+42d27m00.0s,03h07m36.2s,+42d33m04.9s,13,1,IC    284,13,1.625,none
02h40m52.9s,+39d03m00.0s,02h42m33.2s,+39d09m44.9s,12,1,NGC  1023,12,1.5,none
02h40m46.8s,+38d57m00.0s,02h42m27.0s,+39d03m45.0s,12,1,NGC  1023,12,1.5,none
03h33m37.1s,+39d27m00.0s,03h35m22.3s,+39d32m15.5s,12,1,A   0331+39,12,1.5,none
