center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
19h06m25.8s,+16d30m00.0s,19h07m37.3s,+16d32m33.4s,76,0,,0,0.0,none
19h08m30.9s,+16d30m00.0s,19h09m42.5s,+16d32m38.0s,93,0,,0,0.0,none
19h10m36.1s,+16d30m00.0s,19h11m47.7s,+16d32m42.6s,74,0,,0,0.0,none
19h12m41.2s,+16d30m00.0s,19h13m52.9s,+16d32m47.2s,77,0,,0,0.0,none
19h14m46.4s,+16d30m00.0s,19h15m58.0s,+16d32m51.8s,80,0,,0,0.0,none
19h16m51.5s,+16d30m00.0s,19h18m03.2s,+16d32m56.4s,73,0,,0,0.0,none
19h18m56.7s,+16d30m00.0s,19h20m08.4s,+16d33m00.9s,59,0,,0,0.0,none
19h21m01.8s,+16d30m00.0s,19h22m13.6s,+16d33m05.5s,50,0,,0,0.0,none
19h23m07.0s,+16d30m00.0s,19h24m18.8s,+16d33m10.0s,66,0,,0,0.0,none
19h25m12.2s,+16d30m00.0s,19h26m24.0s,+16d33m14.5s,74,0,,0,0.0,none
19h27m17.3s,+16d30m00.0s,19h28m29.2s,+16d33m19.0s,67,0,,0,0.0,none
19h29m22.5s,+16d30m00.0s,19h30m34.3s,+16d33m23.5s,70,0,,0,0.0,none
19h31m27.6s,+16d30m00.0s,19h32m39.5s,+16d33m28.0s,78,0,,0,0.0,none
19h33m32.8s,+16d30m00.0s,19h34m44.7s,+16d33m32.4s,92,0,,0,0.0,none
19h35m37.9s,+16d30m00.0s,19h36m49.9s,+16d33m36.8s,117,0,,0,0.0,none
19h37m43.1s,+16d30m00.0s,19h38m55.1s,+16d33m41.3s,132,0,,0,0.0,none
19h39m48.2s,+16d30m00.0s,19h41m00.3s,+16d33m45.6s,130,0,,0,0.0,none
19h41m53.4s,+16d30m00.0s,19h43m05.5s,+16d33m50.0s,130,0,,0,0.0,none
19h43m58.5s,+16d30m00.0s,19h45m10.7s,+16d33m54.4s,122,0,,0,0.0,none
19h46m03.7s,+16d30m00.0s,19h47m15.9s,+16d33m58.7s,120,0,,0,0.0,none
19h48m08.8s,+16d30m00.0s,19h49m21.1s,+16d34m03.0s,122,0,,0,0.0,none
19h50m14.0s,+16d30m00.0s,19h51m26.3s,+16d34m07.3s,122,0,,0,0.0,none
19h52m19.2s,+16d30m00.0s,19h53m31.5s,+16d34m11.6s,112,0,,0,0.0,none
19h54m24.3s,+16d30m00.0s,19h55m36.7s,+16d34m15.9s,112,0,,0,0.0,none
19h56m29.5s,+16d30m00.0s,19h57m41.9s,+16d34m20.1s,185,0,,0,0.0,none
19h58m34.6s,+16d30m00.0s,19h59m47.1s,+16d34m24.3s,224,0,,0,0.0,none
20h00m39.8s,+16d30m00.0s,20h01m52.3s,+16d34m28.5s,193,0,,0,0.0,none
20h02m44.9s,+16d30m00.0s,20h03m57.5s,+16d34m32.7s,179,0,,0,0.0,none
20h04m50.1s,+16d30m00.0s,20h06m02.7s,+16d34m36.8s,195,0,,0,0.0,none
20h06m55.2s,+16d30m00.0s,20h08m07.9s,+16d34m40.9s,185,0,,0,0.0,none
20h09m00.4s,+16d30m00.0s,20h10m13.1s,+16d34m45.0s,159,0,,0,0.0,none
20h11m05.5s,+16d30m00.0s,20h12m18.3s,+16d34m49.1s,170,0,,0,0.0,none
20h13m10.7s,+16d30m00.0s,20h14m23.5s,+16d34m53.2s,165,0,,0,0.0,none
20h15m15.8s,+16d30m00.0s,20h16m28.7s,+16d34m57.2s,164,0,,0,0.0,none
20h17m21.0s,+16d30m00.0s,20h18m33.9s,+16d35m01.2s,156,0,,0,0.0,none
20h19m26.2s,+16d30m00.0s,20h20m39.1s,+16d35m05.2s,109,0,,0,0.0,none
19h06m27.4s,+17d00m00.0s,19h07m38.6s,+17d02m33.4s,108,0,,0,0.0,none
19h08m32.9s,+17d00m00.0s,19h09m44.1s,+17d02m38.1s,137,0,,0,0.0,none
19h10m38.4s,+17d00m00.0s,19h11m49.7s,+17d02m42.7s,110,0,,0,0.0,none
19h12m43.9s,+17d00m00.0s,19h13m55.2s,+17d02m47.3s,112,0,,0,0.0,none
19h14m49.3s,+17d00m00.0s,19h16m00.7s,+17d02m51.9s,115,0,,0,0.0,none
19h16m54.8s,+17d00m00.0s,19h18m06.2s,+17d02m56.5s,105,0,,0,0.0,none
19h19m00.3s,+17d00m00.0s,19h20m11.7s,+17d03m01.1s,91,0,,0,0.0,none
19h21m05.8s,+17d00m00.0s,19h22m17.2s,+17d03m05.6s,83,0,,0,0.0,none
19h23m11.3s,+17d00m00.0s,19h24m22.7s,+17d03m10.2s,99,0,,0,0.0,none
19h25m16.8s,+17d00m00.0s,19h26m28.3s,+17d03m14.7s,119,0,,0,0.0,none
19h27m22.2s,+17d00m00.0s,19h28m33.8s,+17d03m19.2s,120,0,,0,0.0,none
19h29m27.7s,+17d00m00.0s,19h30m39.3s,+17d03m23.7s,120,0,,0,0.0,none
19h31m33.2s,+17d00m00.0s,19h32m44.8s,+17d03m28.2s,125,0,,0,0.0,none
19h33m38.7s,+17d00m00.0s,19h34m50.3s,+17d03m32.6s,154,0,,0,0.0,none
19h35m44.2s,+17d00m00.0s,19h36m55.9s,+17d03m37.1s,194,0,,0,0.0,none
19h37m49.7s,+17d00m00.0s,19h39m01.4s,+17d03m41.5s,205,0,,0,0.0,none
19h39m55.1s,+17d00m00.0s,19h41m06.9s,+17d03m45.9s,216,0,,0,0.0,none
19h42m00.6s,+17d00m00.0s,19h43m12.4s,+17d03m50.3s,228,0,,0,0.0,none
19h44m06.1s,+17d00m00.0s,19h45m18.0s,+17d03m54.6s,245,0,,0,0.0,none
19h46m11.6s,+17d00m00.0s,19h47m23.5s,+17d03m59.0s,267,0,,0,0.0,none
19h48m17.1s,+17d00m00.0s,19h49m29.0s,+17d04m03.3s,272,0,,0,0.0,none
19h50m22.6s,+17d00m00.0s,19h51m34.6s,+17d04m07.6s,285,0,,0,0.0,none
19h52m28.0s,+17d00m00.0s,19h53m40.1s,+17d04m11.9s,248,0,,0,0.0,none
19h54m33.5s,+17d00m00.0s,19h55m45.6s,+17d04m16.2s,200,0,,0,0.0,none
19h56m39.0s,+17d00m00.0s,19h57m51.1s,+17d04m20.4s,234,0,,0,0.0,none
19h58m44.5s,+17d00m00.0s,19h59m56.7s,+17d04m24.6s,236,0,,0,0.0,none
20h00m50.0s,+17d00m00.0s,20h02m02.2s,+17d04m28.8s,197,0,,0,0.0,none
20h02m55.5s,+17d00m00.0s,20h04m07.7s,+17d04m33.0s,211,0,,0,0.0,none
20h05m00.9s,+17d00m00.0s,20h06m13.3s,+17d04m37.2s,222,0,,0,0.0,none
