center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
12h29m09.7s,+12d00m00.0s,12h30m30.3s,+11d51m12.6s,37,7,NGC  4431; NGC  4436; NGC  4440; NGC  4452; NGC  4476; NGC  4478; NGC  4486,1813,67.14814814814815,A
12h29m15.8s,+12d30m00.0s,12h30m36.3s,+12d21m12.7s,29,7,NGC  4425; NGC  4431; NGC  4436; NGC  4440; NGC  4476; NGC  4478; NGC  4486,1421,52.62962962962963,B
12h27m12.8s,+12d30m00.0s,12h28m33.5s,+12d21m12.1s,20,8,NGC  4387; NGC  4388; NGC  4406; NGC  4413; NGC  4425; NGC  4431; NGC  4436; NGC  4440,1280,47.407407407407405,C
12h25m09.9s,+12d30m00.0s,12h26m30.7s,+12d21m11.5s,23,7,IC   3258; NGC  4351; NGC  4374; NGC  4387; NGC  4388; NGC  4406; NGC  4413,1127,41.74074074074074,C
12h28m43.4s,+09d30m00.0s,12h30m04.2s,+09d21m12.5s,31,6,NGC  4417; NGC  4424; NGC  4442; NGC  4445; NGC  4451; NGC  4483,1116,41.333333333333336,B
12h23m01.7s,+12d00m00.0s,12h24m22.5s,+11d51m11.0s,30,6,NGC  4294; NGC  4299; NGC  4313; IC   3258; NGC  4351; NGC  4371,1080,40.0,B
12h22m56.5s,+11d30m00.0s,12h24m17.4s,+11d21m11.0s,30,6,NGC  4330; NGC  4352; NGC  4294; NGC  4299; NGC  4313; NGC  4371,1080,40.0,B
12h20m12.2s,+05d30m00.0s,12h21m33.5s,+05d21m10.3s,22,7,NGC  4261; NGC  4264; NGC  4268; NGC  4270; NGC  4273; NGC  4277; NGC  4281,1078,39.925925925925924,C
12h28m30.7s,+08d00m00.0s,12h29m51.6s,+07d51m12.4s,28,6,NGC  4415; NGC  4416; NGC  4434; NGC  4464; NGC  4470; NGC  4472,1008,37.33333333333333,B
12h18m11.7s,+05d30m00.0s,12h19m33.0s,+05d21m09.9s,28,6,NGC  4261; NGC  4264; NGC  4268; NGC  4270; NGC  4273; NGC  4277,1008,37.33333333333333,B
