center_RA,center_DEC,center_RA_current,center_DEC_current,g_star,g_gal,galaxies,P_raw,P_norm,klasa
21h27m58.0s,+26d30m00.0s,21h29m08.7s,+26d37m00.0s,93,1,NGC  7080,93,0.6458333333333334,none
21h28m38.2s,+27d00m00.0s,21h29m48.7s,+27d07m00.9s,83,1,NGC  7080,83,0.5763888888888888,none
19h27m49.5s,+19d30m00.0s,19h28m59.5s,+19d33m20.1s,66,0,,0,0.0,none
19h29m56.8s,+19d30m00.0s,19h31m06.8s,+19d33m24.7s,81,0,,0,0.0,none
19h32m04.1s,+19d30m00.0s,19h33m14.2s,+19d33m29.2s,93,0,,0,0.0,none
19h34m11.4s,+19d30m00.0s,19h35m21.5s,+19d33m33.8s,91,0,,0,0.0,none
19h36m18.7s,+19d30m00.0s,19h37m28.9s,+19d33m38.3s,93,0,,0,0.0,none
19h38m26.0s,+19d30m00.0s,19h39m36.2s,+19d33m42.7s,94,0,,0,0.0,none
19h40m33.3s,+19d30m00.0s,19h41m43.6s,+19d33m47.2s,89,0,,0,0.0,none
19h42m40.6s,+19d30m00.0s,19h43m50.9s,+19d33m51.6s,97,0,,0,0.0,none
19h44m47.9s,+19d30m00.0s,19h45m58.3s,+19d33m56.1s,120,0,,0,0.0,none
19h46m55.2s,+19d30m00.0s,19h48m05.6s,+19d34m00.5s,143,0,,0,0.0,none
19h49m02.5s,+19d30m00.0s,19h50m13.0s,+19d34m04.8s,146,0,,0,0.0,none
19h51m09.8s,+19d30m00.0s,19h52m20.3s,+19d34m09.2s,137,0,,0,0.0,none
19h48m35.7s,+29d00m00.0s,19h49m39.8s,+29d04m03.8s,256,0,,0,0.0,none
20h59m28.9s,+29d00m00.0s,21h00m36.6s,+29d06m16.2s,112,0,,0,0.0,none
20h27m28.1s,+29d00m00.0s,20h28m34.0s,+29d05m20.1s,153,0,,0,0.0,none
20h29m45.3s,+29d00m00.0s,20h30m51.3s,+29d05m24.4s,174,0,,0,0.0,none
20h32m02.5s,+29d00m00.0s,20h33m08.6s,+29d05m28.6s,169,0,,0,0.0,none
20h34m19.7s,+29d00m00.0s,20h35m26.0s,+29d05m32.7s,157,0,,0,0.0,none
20h36m36.9s,+29d00m00.0s,20h37m43.3s,+29d05m36.8s,147,0,,0,0.0,none
20h38m54.1s,+29d00m00.0s,20h40m00.6s,+29d05m40.9s,148,0,,0,0.0,none
20h41m11.3s,+29d00m00.0s,20h42m17.9s,+29d05m45.0s,157,0,,0,0.0,none
20h43m28.5s,+29d00m00.0s,20h44m35.3s,+29d05m49.0s,160,0,,0,0.0,none
20h45m45.7s,+29d00m00.0s,20h46m52.6s,+29d05m53.0s,155,0,,0,0.0,none
20h48m02.9s,+29d00m00.0s,20h49m09.9s,+29d05m56.9s,170,0,,0,0.0,none
